t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,684,3945,1127,45.781,46.406,46.125,46.031,44.656,46.406,0,305,5,665,2482
0.117,644,3824,1127,45.812,46.656,45.843,46.031,44.656,46.437,0,306,5,665,2482
0.234,603,3743,1127,45.75,46.375,45.875,46.0,44.687,46.375,0,305,4,665,2482
0.35,563,3703,1127,45.406,46.406,45.875,46.0,44.656,46.406,0,305,4,665,2482
0.468,563,3663,1127,45.343,46.531,45.906,46.0,44.656,46.531,0,306,4,665,2482
0.585,523,3623,1127,45.468,46.437,46.031,46.062,44.656,46.437,0,305,4,665,2482
0.703,523,3582,1127,45.375,46.531,45.875,46.125,44.687,46.531,0,305,4,665,2482
0.825,523,3582,1127,45.593,46.406,45.968,46.218,44.562,46.406,0,305,4,665,2482
0.941,483,3582,1127,45.75,46.5,46.062,46.187,44.625,46.5,0,306,4,665,2482
1.057,483,3582,1127,45.656,46.406,46.093,46.281,44.625,46.406,0,305,4,665,2482
1.175,483,3542,1127,45.812,46.468,46.0,46.25,44.593,46.468,0,305,4,665,2482
1.293,483,3542,1127,45.406,46.656,45.875,45.968,44.656,46.656,0,306,3,665,2482
1.41,483,3542,1127,45.625,46.843,45.906,46.062,44.625,46.843,0,305,3,665,2482
1.539,483,3502,1127,45.593,46.531,46.062,46.25,44.718,46.531,0,305,3,665,2482
1.656,483,3542,1127,45.656,46.375,46.093,46.0,44.656,46.375,0,305,3,665,2482
1.774,483,3502,1127,45.625,46.531,45.843,46.093,44.656,46.531,0,305,3,665,2482
1.892,483,3542,1127,45.781,46.687,45.875,46.0,44.625,46.687,0,305,3,665,2482
2.009,483,3542,1127,45.718,46.343,45.843,46.031,44.687,46.343,0,305,3,665,2482
2.127,483,3502,1127,45.781,46.5,45.937,46.062,44.593,46.5,0,305,3,665,2482
2.243,483,3542,1127,45.406,46.343,45.906,46.062,44.656,46.343,0,305,3,665,2483
2.361,483,3502,1127,45.5,46.375,45.906,46.093,44.687,46.375,0,305,3,665,2483
2.478,483,3502,1127,45.343,46.531,45.937,46.125,44.687,46.531,0,306,3,665,2483
2.594,483,3542,1127,45.375,46.437,45.906,46.093,44.656,46.437,0,306,3,665,2483
2.711,483,3502,1127,45.375,46.5,45.968,46.093,44.593,46.5,0,305,3,665,2483
2.829,483,3542,1127,45.531,46.75,46.031,46.125,44.625,46.75,5,305,3,665,2483
2.949,483,3542,1127,45.718,46.343,46.093,46.0,44.562,46.343,0,305,3,665,2483
3.068,483,3502,1127,45.281,46.375,45.906,46.0,44.656,46.375,0,305,3,665,2483
3.196,483,3502,1127,45.5,46.812,45.843,45.906,44.625,46.812,0,306,3,665,2483
3.313,483,3502,1127,45.593,46.312,46.093,46.062,44.656,46.312,0,305,3,665,2483
3.431,483,3542,1127,45.593,46.843,45.906,46.0,44.656,46.843,7,305,3,665,2484
3.555,523,3542,1127,45.593,46.343,45.968,46.187,44.656,46.343,0,305,3,665,2484
3.673,523,3623,1127,45.625,46.468,46.0,46.281,44.656,46.468,0,305,3,665,2484
3.791,483,3623,1127,45.718,46.562,46.0,45.968,44.593,46.562,0,306,3,665,2484
3.908,483,3623,1127,45.718,46.5,46.062,46.031,44.656,46.5,0,305,3,665,2484
4.025,523,3582,1127,45.812,46.593,45.843,46.031,44.593,46.593,16,305,3,665,2484
4.145,483,3582,1127,45.281,46.375,45.875,46.0,44.656,46.375,0,306,3,665,2484
4.263,483,3542,1127,45.312,46.312,45.937,46.093,44.593,46.312,0,305,3,665,2484
4.382,483,3542,1127,45.531,46.687,45.968,46.062,44.687,46.687,0,305,3,665,2484
4.499,483,3542,1127,45.531,46.312,45.906,46.093,44.531,46.312,0,306,3,665,2484
4.62,483,3542,1127,45.75,46.375,46.125,46.187,44.656,46.375,13,305,3,665,2484
4.737,483,3542,1127,45.812,46.5,45.843,46.031,44.625,46.5,0,305,3,665,2484
4.855,483,3502,1127,45.75,46.625,45.812,46.0,44.625,46.625,0,305,3,665,2484
4.973,483,3542,1127,45.281,46.343,45.906,46.0,44.718,46.343,0,305,3,665,2484
5.104,483,3542,1127,45.25,46.625,45.906,46.031,44.656,46.625,0,305,3,665,2484
5.226,483,3542,1127,45.531,46.437,45.968,46.156,44.593,46.437,13,305,3,665,2484
5.344,483,3542,1127,45.593,46.593,46.031,46.156,44.656,46.593,0,305,3,665,2484
5.46,483,3542,1127,45.625,46.375,45.906,46.156,44.593,46.375,0,305,3,665,2484
5.577,483,3542,1127,45.687,46.531,45.968,46.218,44.593,46.531,0,305,3,665,2484
5.696,483,3502,1127,45.687,46.687,45.875,45.937,44.656,46.687,0,305,3,665,2484
5.815,483,3542,1127,45.656,46.343,45.875,45.968,44.656,46.343,0,305,3,665,2484
5.934,483,3542,1127,45.312,46.406,45.906,46.062,44.562,46.406,0,306,3,665,2484
6.054,483,3502,1127,45.468,46.375,45.968,46.125,44.718,46.375,0,305,3,665,2484
6.171,483,3502,1127,45.437,46.468,45.906,46.093,44.593,46.468,0,305,3,665,2484
6.289,483,3502,1127,45.468,46.375,46.0,46.156,44.656,46.375,0,306,3,665,2484
6.411,483,3502,1127,45.593,46.375,45.812,46.093,44.687,46.375,0,305,3,665,2484
