t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,563,3703,1127,45.531,46.75,46.0,46.125,44.562,46.75,0,305,3,665,2452
0.117,563,3663,1127,45.625,46.312,46.0,46.218,44.562,46.312,0,305,3,665,2452
0.232,523,3623,1127,45.531,46.75,45.968,46.187,44.5,46.75,0,305,3,665,2452
0.353,523,3623,1127,45.843,46.562,45.781,45.968,44.531,46.562,0,305,3,665,2453
0.472,563,3703,1127,45.687,46.718,45.781,46.031,44.562,46.718,0,305,3,665,2464
0.591,603,3824,1127,45.468,46.281,45.812,46.062,44.656,46.281,0,305,4,665,2506
0.708,603,3864,1127,45.437,46.375,45.812,46.093,44.562,46.375,0,306,4,665,2520
0.825,603,3864,1127,45.406,46.375,45.906,45.968,44.656,46.375,0,306,4,665,2541
0.947,603,3904,1127,45.625,46.75,46.062,46.093,44.562,46.75,0,305,4,665,2568
1.078,763,4146,1167,45.75,46.687,46.0,46.0,44.625,47.093,8,305,5,665,2666
1.194,1960,5969,1442,45.906,47.906,45.906,46.218,44.75,47.906,99,898,4,2133,2666
1.31,2950,7388,1677,46.187,48.031,46.062,45.968,44.812,48.031,99,897,7,2133,2666
1.426,3616,8439,1831,46.156,48.156,46.125,46.156,45.0,48.156,99,898,10,2133,2666
1.543,4159,9260,1947,46.281,48.656,46.125,46.218,45.031,48.656,99,897,12,2133,2666
1.658,4627,10237,2297,46.187,48.656,46.156,46.281,45.25,48.656,99,896,10,3199,2666
1.774,5054,11092,2610,46.343,48.75,46.281,46.218,45.312,48.75,99,896,11,3199,2666
1.888,5322,11746,2882,46.468,48.656,46.312,46.312,45.281,48.656,99,897,13,3199,2666
2.003,5589,12241,3080,46.406,48.656,46.375,46.281,45.343,48.656,99,896,14,3199,2666
2.119,5746,12636,3232,46.5,48.781,46.375,46.281,45.625,48.781,99,898,15,3199,2666
2.234,5855,12891,3311,46.593,48.781,46.406,46.312,45.718,48.781,99,902,16,3199,2666
2.349,5972,13088,3429,46.593,49.375,46.375,46.312,45.656,49.375,99,898,17,3199,2666
2.462,6051,13285,3463,46.562,49.218,46.406,46.312,45.625,49.218,99,897,18,3199,2666
2.577,6080,13404,3542,46.843,49.187,46.437,46.343,45.75,49.187,99,897,19,3199,2666
2.692,6159,13500,3542,47.0,49.062,46.625,46.375,45.843,49.062,99,897,20,3199,2666
2.808,6198,13579,3581,47.0,49.625,46.375,46.687,45.843,49.625,99,897,20,3199,2666
2.93,6198,13618,3621,47.343,49.437,46.625,46.375,45.906,49.437,99,897,21,3199,2666
3.043,6237,13657,3621,47.218,49.406,46.531,46.406,45.906,49.406,99,898,22,3199,2666
3.157,6237,13697,3660,46.968,49.281,46.593,46.5,46.031,49.281,99,898,22,3199,2666
3.273,6277,13736,3660,47.031,49.843,46.875,46.687,45.968,49.843,99,897,23,3199,2666
3.388,6277,13736,3660,47.25,49.406,46.937,46.625,46.093,49.406,99,898,23,3199,2666
3.502,6237,13697,3660,47.125,49.906,46.781,46.656,46.031,49.906,99,897,24,3199,2666
3.617,6277,13736,3660,47.0,49.687,46.812,46.687,46.125,49.687,99,898,24,3199,2666
3.732,6277,13776,3660,47.062,49.687,46.812,46.625,46.187,49.687,99,897,24,3199,2666
3.847,6277,13815,3660,47.125,49.593,46.812,46.593,46.25,49.593,99,898,25,3199,2666
3.961,6277,13815,3654,47.062,50.156,46.875,46.75,46.25,50.156,99,897,25,3199,2666
4.075,6277,13815,3654,47.156,49.937,46.843,46.656,46.187,49.937,99,897,25,3199,2666
4.189,6277,13815,3654,47.5,49.781,46.968,46.718,46.281,49.781,99,897,25,3199,2666
4.303,6277,13815,3693,47.531,49.718,47.0,46.937,46.312,49.718,99,896,26,3199,2666
4.416,6277,13815,3693,47.343,50.218,47.0,46.875,46.312,50.218,99,896,26,3199,2666
4.531,6277,13815,3693,47.468,50.062,46.937,46.875,46.375,50.062,99,897,26,3199,2666
4.646,6277,13776,3660,47.25,49.875,46.906,46.843,46.437,49.875,99,897,26,3199,2666
4.76,6277,13815,3693,47.312,49.843,47.031,46.843,46.5,49.843,99,897,26,3199,2666
4.874,6277,13854,3693,47.593,49.812,46.937,46.875,46.406,49.812,99,897,26,3199,2666
4.988,6316,13854,3693,47.812,50.281,47.125,47.031,46.5,50.281,99,897,26,3199,2666
5.101,6316,13894,3693,47.625,49.812,47.187,47.0,46.437,49.812,99,896,27,3199,2666
5.215,6316,13894,3693,47.531,50.375,47.187,47.0,46.593,50.375,99,896,27,3199,2666
5.332,6277,13894,3654,47.531,49.937,47.156,47.031,46.625,49.937,99,896,27,3199,2666
5.447,6277,13894,3693,47.5,50.312,47.156,47.093,46.656,50.312,99,897,27,3199,2666
5.56,6316,13854,3693,47.562,50.312,47.218,46.968,46.656,50.312,99,896,27,3199,2666
5.676,6316,13894,3693,47.562,50.187,47.25,47.0,46.656,50.187,99,896,27,3199,2666
5.791,6316,13854,3693,48.031,50.062,47.187,47.093,46.718,50.062,99,897,27,3199,2666
5.905,6277,13815,3693,47.937,50.562,47.187,47.0,46.687,50.562,99,896,27,3199,2666
6.018,6277,13815,3693,48.031,50.375,47.406,47.25,46.75,50.375,99,897,27,3199,2666
6.132,6316,13815,3693,47.781,50.25,47.312,47.281,46.625,50.25,99,896,27,3199,2666
6.245,6316,13815,3693,47.593,50.156,47.218,47.187,46.781,50.156,99,896,27,3199,2666
6.359,6316,13815,3693,47.562,50.406,47.281,47.156,46.781,50.406,99,897,27,3199,2666
6.473,6277,13776,3693,48.0,50.25,47.281,47.218,46.812,50.25,99,897,27,3199,2666
6.586,6277,13815,3693,48.031,50.187,47.468,47.281,46.812,50.187,99,897,27,3199,2666
6.699,6277,13815,3693,47.718,50.625,47.468,47.312,46.812,50.625,99,895,27,3199,2666
6.813,6316,13815,3693,47.843,50.437,47.468,47.312,46.906,50.437,99,896,27,3199,2666
6.927,6316,13815,3693,47.781,50.375,47.406,47.281,46.906,50.375,99,897,28,3199,2666
7.04,6277,13776,3693,48.093,50.468,47.343,47.281,46.937,50.468,99,896,28,3199,2666
7.154,6277,13776,3693,48.343,50.468,47.468,47.468,46.906,50.468,99,896,28,3199,2666
7.27,6277,13815,3693,48.281,50.593,47.468,47.281,47.031,50.593,99,896,28,3199,2666
7.386,6277,13815,3693,48.187,50.437,47.625,47.562,47.062,50.437,99,896,28,3199,2666
7.5,6316,13815,3693,48.093,50.437,47.625,47.468,46.937,50.437,99,896,28,3199,2666
7.614,6316,13815,3693,48.031,50.875,47.718,47.5,47.062,50.875,99,898,28,3199,2669
7.73,6277,13776,3693,47.968,50.781,47.593,47.437,47.0,50.781,99,896,28,3199,2669
7.845,6316,13815,3693,47.937,50.968,47.656,47.375,47.187,50.968,99,897,28,3199,2669
7.959,6316,13776,3693,47.968,50.781,47.562,47.468,47.093,50.781,99,895,28,3199,2669
8.073,6316,13776,3693,48.281,51.0,47.593,47.406,47.062,51.0,99,898,28,3199,2668
8.187,6316,13815,3693,47.875,50.843,47.562,47.406,47.031,50.843,99,897,28,3199,2668
8.3,6277,13776,3693,48.187,50.718,47.781,47.656,47.156,50.718,99,898,28,3199,2667
8.414,6277,13776,3693,48.218,50.718,47.812,47.656,47.156,50.718,99,897,28,3199,2667
8.528,6277,13776,3693,48.0,51.156,47.687,47.468,47.218,51.156,99,898,28,3199,2667
8.643,6277,13815,3693,48.031,50.968,47.718,47.625,47.187,50.968,99,896,28,3199,2667
8.758,6277,13815,3693,48.156,50.812,47.687,47.531,47.281,50.812,99,896,28,3199,2667
8.873,6277,13776,3693,48.5,50.718,47.75,47.656,47.25,50.718,99,896,28,3199,2667
8.987,6277,13815,3693,48.031,50.687,47.718,47.562,47.281,50.687,99,897,28,3199,2666
9.1,6277,13815,3693,48.375,51.125,47.843,47.812,47.312,51.125,99,896,28,3199,2665
9.214,6316,13815,3693,48.406,50.937,47.812,47.687,47.281,50.937,99,896,28,3199,2665
9.328,6316,13815,3693,48.218,50.843,47.781,47.781,47.343,50.843,99,897,28,3199,2665
9.444,6277,13776,3693,48.281,50.812,47.812,47.718,47.5,50.812,99,896,28,3199,2665
9.559,6277,13776,3693,48.343,51.218,47.906,47.75,47.406,51.218,99,897,28,3199,2665
9.674,6277,13815,3693,48.218,50.812,47.906,47.781,47.468,50.812,99,895,28,3199,2665
9.787,6316,13815,3693,48.281,51.031,47.875,47.687,47.343,51.031,99,897,28,3199,2665
9.902,6316,13815,3693,48.531,50.937,47.906,47.656,47.437,50.937,99,897,28,3199,2665
10.016,6316,13815,3693,48.656,51.312,48.093,47.937,47.468,51.312,99,896,28,3199,2663
10.131,6277,13815,3693,48.718,50.968,48.062,47.968,47.468,50.968,99,896,28,3199,2663
10.246,6277,13815,3693,48.656,51.437,48.062,47.968,47.468,51.437,99,897,28,3199,2663
10.361,6277,13815,3693,48.437,51.281,48.031,47.843,47.437,51.281,99,897,28,3199,2663
10.474,6316,13815,3693,48.437,51.156,48.093,47.968,47.562,51.156,99,896,28,3199,2663
10.588,6316,13815,3693,48.375,51.375,48.031,47.75,47.562,51.093,99,898,28,3199,2663
10.702,6277,13776,3693,48.812,51.218,47.968,47.906,47.562,51.218,99,897,28,3199,2663
10.816,6277,13776,3693,48.906,51.156,48.062,47.781,47.562,51.156,99,897,28,3199,2663
10.931,6277,13815,3693,48.75,51.218,48.218,48.156,47.562,51.218,99,897,28,3199,2663
11.046,6316,13815,3693,48.906,51.187,48.218,48.156,47.625,51.187,99,897,28,3199,2661
11.161,6316,13854,3693,48.781,51.093,48.156,48.093,47.625,51.093,99,898,28,3199,2661
11.275,6306,13894,3693,48.625,51.531,48.156,48.062,47.75,51.531,99,897,28,3199,2661
11.39,6306,13854,3693,48.625,51.375,48.187,47.968,47.75,51.375,99,895,28,3199,2660
11.503,6316,13854,3693,48.687,51.312,48.187,48.0,47.718,51.312,99,896,28,3199,2660
11.617,6306,13854,3693,49.125,51.218,48.125,48.062,47.75,51.218,99,896,28,3199,2660
11.732,6306,13854,3693,48.968,51.562,48.343,48.062,47.75,51.562,99,895,28,3199,2660
11.846,6316,13854,3693,48.75,51.468,48.312,48.25,47.812,51.468,99,897,28,3199,2660
11.959,6316,13854,3693,48.812,51.75,48.281,48.218,47.781,51.375,99,896,28,3199,2659
12.074,6306,13854,3693,48.687,51.562,48.312,48.187,47.968,51.25,99,895,28,3199,2658
12.189,6316,13854,3693,48.781,51.781,48.343,48.218,47.781,51.781,99,897,28,3199,2658
12.303,6306,13854,3693,48.75,51.656,48.187,48.218,47.875,51.656,99,896,28,3199,2658
12.418,6316,13854,3693,49.031,51.593,48.281,48.187,47.843,51.593,99,897,28,3199,2658
12.533,6316,13854,3693,48.625,51.406,48.25,48.093,47.937,51.406,99,896,28,3199,2658
12.647,6306,13854,3693,48.906,51.937,48.5,48.343,47.843,51.937,99,897,28,3199,2658
12.76,6316,13854,3693,49.093,51.687,48.406,48.343,47.906,51.687,99,895,28,3199,2658
12.875,6306,13854,3693,48.906,51.562,48.375,48.343,47.968,51.562,99,896,28,3199,2658
12.991,6306,13854,3693,48.781,51.562,48.468,48.406,47.937,51.562,99,896,28,3199,2656
13.105,6306,13854,3693,48.812,51.406,48.468,48.375,48.031,51.406,99,896,28,3199,2656
13.219,6306,13854,3693,48.812,51.843,48.406,48.312,48.031,51.843,99,896,28,3199,2656
13.332,6306,13854,3693,48.75,51.718,48.406,48.281,48.031,51.718,99,897,28,3199,2656
13.446,6306,13854,3693,49.093,51.562,48.437,48.25,48.031,51.562,99,896,28,3199,2656
13.561,6306,13854,3693,49.25,51.531,48.562,48.5,48.031,51.531,99,897,28,3199,2656
13.674,6306,13854,3693,49.093,52.062,48.562,48.406,48.031,52.062,99,896,28,3199,2656
13.792,6306,13854,3693,49.156,51.906,48.625,48.468,48.093,51.906,99,896,28,3199,2656
13.913,6306,13854,3693,49.281,51.687,48.531,48.406,48.156,51.687,99,896,28,3199,2656
14.027,6306,13854,3693,49.062,51.625,48.531,48.375,48.093,51.625,99,897,28,3199,2654
14.142,6306,13854,3693,49.156,52.031,48.75,48.593,48.093,52.031,99,897,28,3199,2654
14.256,6316,13854,3693,49.312,51.937,48.718,48.531,48.125,51.937,99,896,28,3199,2654
14.371,6316,13854,3693,49.031,51.75,48.656,48.5,48.187,51.75,99,897,28,3199,2654
14.486,6306,13854,3693,49.156,51.781,48.531,48.5,48.25,51.781,99,896,28,3199,2654
14.6,6306,13854,3693,49.062,51.812,48.687,48.531,48.156,51.812,99,897,28,3199,2654
14.714,6306,13854,3693,49.5,52.031,48.687,48.593,48.218,52.031,99,896,28,3199,2654
14.829,6306,13854,3693,49.031,52.218,48.593,48.531,48.218,52.218,99,896,28,3199,2654
14.948,6306,13854,3693,49.062,51.875,48.687,48.531,48.312,51.875,99,896,28,3199,2652
15.062,6306,13894,3693,49.437,52.218,48.687,48.5,48.375,52.218,99,897,28,3199,2651
15.176,6306,13854,3693,49.593,52.218,48.875,48.562,48.218,52.218,99,896,28,3199,2651
15.289,6306,13894,3693,49.5,52.375,48.875,48.75,48.312,52.375,99,897,28,3199,2651
15.403,6306,13854,3693,49.25,52.125,48.781,48.687,48.312,52.125,99,897,28,3199,2651
15.517,6306,13854,3693,49.218,52.0,48.812,48.75,48.531,52.0,99,897,28,3199,2651
15.631,6306,13854,3693,49.25,51.937,48.843,48.687,48.437,51.937,99,897,28,3199,2651
15.745,6306,13854,3693,49.531,52.468,48.812,48.687,48.468,52.468,99,896,28,3199,2651
15.859,6306,13854,3693,49.656,52.218,49.062,48.75,48.437,52.218,99,896,28,3199,2651
15.976,6306,13854,3693,49.75,52.531,48.812,48.656,48.437,52.531,99,895,28,3199,2651
16.091,6306,13854,3693,49.625,52.375,49.0,48.625,48.468,52.375,99,896,28,3199,2650
16.206,6306,13854,3693,49.75,52.281,49.031,48.937,48.531,52.281,99,896,28,3199,2650
16.32,6306,13894,3693,49.531,52.062,48.937,48.875,48.531,52.062,99,898,28,3199,2650
16.434,6306,13894,3693,49.437,52.062,48.812,48.937,48.625,52.062,99,895,28,3199,2650
16.548,6306,13894,3693,49.343,52.468,48.937,48.843,48.531,52.468,99,897,28,3199,2650
