t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1589,6369,2428,47.812,48.468,47.375,47.593,46.375,48.468,0,915,1,3199,2499
0.113,1510,6210,2428,47.437,48.5,47.468,47.593,46.406,48.5,0,915,1,3199,2499
0.225,1430,6130,2428,47.5,48.593,47.5,47.843,46.281,48.593,0,915,1,3199,2499
0.339,1351,6050,2388,47.25,48.531,47.531,47.75,46.281,48.531,0,914,1,3199,2499
0.452,1353,6011,2388,47.312,48.281,47.406,47.656,46.406,48.281,13,915,1,3199,2499
0.565,1313,5931,2388,47.531,48.406,47.406,47.593,46.312,48.281,0,915,1,3199,2499
0.679,1273,5891,2388,47.718,48.343,47.375,47.875,46.375,48.343,0,915,1,3199,2499
0.791,1273,5891,2388,47.406,48.25,47.531,47.781,46.343,48.25,0,914,1,3199,2499
0.904,1234,5851,2388,47.218,48.718,47.5,47.687,46.375,48.718,0,915,0,3199,2499
1.017,1234,5851,2388,47.5,48.343,47.468,47.625,46.312,48.343,0,915,0,3199,2499
1.131,1234,5851,2388,47.656,48.781,47.375,47.687,46.375,48.781,0,915,0,3199,2498
1.245,1234,5811,2388,47.593,48.531,47.562,47.781,46.406,48.531,0,915,0,3199,2498
1.359,1234,5811,2388,47.343,48.375,47.5,47.781,46.343,48.375,0,915,0,3199,2498
1.473,1194,5811,2388,47.375,48.312,47.531,47.781,46.406,48.312,0,915,0,3199,2498
1.586,1194,5811,2388,47.187,48.281,47.437,47.718,46.281,48.281,0,915,0,3199,2498
1.7,1194,5811,2388,47.406,48.593,47.468,47.625,46.375,48.593,0,915,0,3199,2498
1.814,1194,5811,2388,47.531,48.281,47.718,47.593,46.312,48.5,0,915,0,3199,2498
1.927,1194,5811,2388,47.625,48.656,47.531,47.781,46.343,48.656,0,915,0,3199,2498
2.041,1194,5772,2388,47.343,48.562,47.531,47.75,46.312,48.562,0,915,0,3199,2498
2.156,1194,5811,2388,47.437,48.406,47.5,47.687,46.343,48.406,0,915,0,3199,2497
2.268,1234,5891,2388,47.25,48.312,47.437,47.75,46.312,48.312,0,915,0,3199,2497
2.382,1194,5851,2388,47.281,48.75,47.437,47.625,46.343,48.75,0,916,0,3199,2497
2.496,1194,5851,2388,47.531,48.625,47.625,47.593,46.312,48.625,0,915,0,3199,2497
2.609,1194,5811,2388,47.625,48.781,47.656,47.812,46.312,48.781,0,915,0,3199,2497
2.723,1194,5811,2388,47.406,48.625,47.562,47.75,46.312,48.625,0,914,0,3199,2497
2.836,1194,5811,2388,47.187,48.468,47.468,47.687,46.406,48.468,0,915,0,3199,2497
2.95,1194,5811,2388,47.25,48.312,47.406,47.687,46.375,48.312,0,915,0,3199,2497
3.064,1194,5811,2388,47.562,48.25,47.437,47.656,46.375,48.25,0,915,0,3199,2497
3.177,1194,5811,2388,47.625,48.343,47.625,47.906,46.406,48.343,0,915,0,3199,2495
3.289,1194,5851,2388,47.343,48.281,47.531,47.75,46.468,48.281,0,915,0,3199,2495
3.403,1194,5811,2388,47.343,48.718,47.468,47.781,46.437,48.718,0,915,0,3199,2495
3.517,1194,5811,2388,47.281,48.437,47.562,47.687,46.406,48.437,0,915,0,3199,2495
3.63,1194,5811,2388,47.531,48.781,47.593,47.75,46.343,48.781,0,915,0,3199,2495
3.742,1194,5851,2388,47.562,48.656,47.562,47.906,46.312,48.656,0,915,0,3199,2495
3.855,1194,5811,2388,47.375,48.781,47.562,47.781,46.5,48.781,0,915,0,3199,2495
3.967,1194,5811,2388,47.75,48.656,47.562,47.75,46.406,48.656,0,916,0,3199,2495
4.082,1194,5811,2388,47.718,48.468,47.5,47.625,46.343,48.468,1,915,0,3199,2495
4.195,1194,5811,2388,47.468,48.375,47.687,47.906,46.406,48.375,0,915,0,3199,2494
4.308,1194,5811,2388,47.531,48.468,47.656,47.781,46.375,48.468,0,914,0,3199,2494
4.422,1234,5811,2388,47.437,48.375,47.593,47.718,46.468,48.375,0,915,0,3199,2494
4.534,1234,5811,2388,47.656,48.281,47.468,47.812,46.437,48.281,0,915,0,3199,2494
4.65,1273,5891,2388,47.937,48.75,47.468,47.687,46.468,48.75,2,913,0,3199,2495
4.763,1273,5931,2388,47.75,48.5,47.593,47.968,46.375,48.5,0,915,0,3199,2495
4.876,1234,5891,2388,47.5,48.781,47.625,47.812,46.375,48.781,0,915,0,3199,2495
4.989,1234,5931,2388,47.406,48.562,47.625,47.812,46.593,48.562,0,915,0,3199,2495
5.102,1234,5891,2388,47.531,48.406,47.531,47.781,46.406,48.406,0,915,0,3199,2495
5.215,1273,5931,2388,47.75,48.593,47.5,47.781,46.468,48.593,2,914,0,3199,2493
5.328,1273,5931,2388,47.781,48.562,47.625,47.906,46.375,48.562,0,914,0,3199,2493
5.44,1234,5891,2388,47.406,48.406,47.562,47.812,46.468,48.406,0,915,0,3199,2493
5.555,1234,5851,2388,47.375,48.875,47.562,47.781,46.562,48.875,0,913,0,3199,2493
5.669,1234,5851,2388,47.375,48.718,47.562,47.781,46.468,48.718,0,915,0,3199,2493
5.782,1234,5851,2388,47.656,48.468,47.562,47.781,46.5,48.468,0,915,0,3199,2493
5.896,1234,5851,2388,47.656,48.656,47.75,47.968,46.5,48.656,0,915,0,3199,2493
6.01,1234,5851,2388,47.687,48.593,47.625,47.968,46.468,48.593,0,915,0,3199,2493
6.124,1234,5811,2388,47.406,48.406,47.562,47.812,46.5,48.406,0,914,0,3199,2492
6.237,1234,5811,2388,47.468,48.406,47.562,47.843,46.468,48.406,0,915,0,3199,2492
6.351,1234,5811,2388,47.312,48.781,47.562,47.781,46.468,48.781,0,915,0,3199,2493
6.464,1234,5811,2388,47.625,48.406,47.562,47.75,46.437,48.406,0,915,0,3199,2493
6.577,1234,5811,2388,47.656,48.812,47.718,47.906,46.437,48.812,0,914,0,3199,2493
6.689,1234,5811,2388,47.437,48.468,47.593,47.812,46.5,48.468,0,914,0,3199,2493
6.803,1194,5811,2388,47.406,48.812,47.593,47.781,46.5,48.812,0,915,0,3199,2493
6.921,1234,5811,2388,47.531,48.468,47.562,47.843,46.5,48.468,0,915,0,3199,2493
7.034,1234,5811,2388,47.312,48.906,47.593,47.781,46.531,48.906,0,914,0,3199,2493
7.147,1234,5811,2388,47.625,48.687,47.656,47.718,46.5,48.687,0,914,0,3199,2493
7.261,1234,5851,2388,47.718,48.937,47.656,47.968,46.531,48.937,0,914,0,3199,2493
7.374,1234,5851,2388,47.437,48.687,47.625,47.875,46.437,48.687,0,914,0,3199,2493
7.488,1234,5851,2388,47.562,48.718,47.656,47.843,46.593,48.718,0,914,0,3199,2493
7.602,1234,5811,2388,47.312,48.468,47.656,47.843,46.531,48.468,13,915,0,3199,2493
7.715,1194,5811,2388,47.343,48.437,47.562,47.812,46.5,48.437,0,915,0,3199,2493
7.829,1194,5811,2388,47.593,48.781,47.625,47.781,46.5,48.781,0,915,0,3199,2493
7.943,1194,5811,2388,47.718,48.656,47.781,48.0,46.531,48.656,0,915,0,3199,2493
8.057,1194,5811,2388,47.375,48.843,47.656,47.843,46.468,48.843,0,915,0,3199,2493
8.171,1234,5851,2388,47.468,48.718,47.625,47.906,46.5,48.718,0,915,0,3199,2491
8.285,1234,5851,2388,47.468,48.531,47.625,47.812,46.593,48.531,0,915,0,3199,2491
8.398,1234,5851,2388,47.375,48.5,47.625,47.75,46.5,48.5,0,915,0,3199,2491
8.511,1234,5851,2388,47.718,48.968,47.812,48.062,46.5,48.968,0,915,0,3199,2491
8.625,1234,5811,2388,47.75,48.75,47.781,47.968,46.437,48.75,0,915,0,3199,2491
8.738,1234,5811,2388,47.406,49.093,47.656,47.906,46.562,49.093,0,915,0,3199,2491
8.852,1234,5811,2388,47.5,48.781,47.656,47.812,46.531,48.781,0,915,0,3199,2491
8.965,1194,5811,2388,47.843,48.593,47.656,47.843,46.468,48.593,0,915,0,3199,2491
9.078,1194,5811,2388,47.656,48.843,47.812,48.062,46.468,48.843,0,915,0,3199,2491
9.191,1194,5811,2388,47.625,48.718,47.812,48.031,46.531,48.718,0,915,0,3199,2491
