t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,723,3945,1127,45.625,46.718,46.218,46.406,44.937,46.875,0,305,5,665,2650
0.117,643,3824,1127,45.625,46.843,46.343,46.406,45.0,46.843,0,305,4,665,2650
0.235,603,3743,1127,45.625,46.843,46.312,46.5,44.968,46.843,0,306,4,665,2650
0.353,563,3703,1127,45.625,46.968,46.343,46.5,45.0,46.968,0,306,4,665,2650
0.47,563,3663,1127,45.656,47.281,46.312,46.5,45.062,47.281,0,305,4,665,2650
0.587,523,3623,1127,45.625,46.937,46.343,46.562,45.0,46.687,0,305,4,665,2650
0.704,523,3582,1127,45.656,46.656,46.375,46.281,44.875,46.656,0,306,4,665,2650
0.824,523,3542,1127,46.062,46.843,46.187,46.343,44.906,46.843,0,306,4,665,2650
0.941,523,3542,1127,45.875,46.75,46.187,46.343,44.937,46.75,0,305,4,665,2650
1.058,523,3542,1127,45.875,47.0,46.25,46.375,44.968,47.0,0,305,4,665,2650
1.175,483,3502,1127,45.968,47.218,46.218,46.343,44.937,47.218,0,305,3,665,2649
1.301,483,3502,1127,45.937,46.718,46.25,46.406,44.875,46.718,0,306,3,665,2649
1.419,483,3542,1127,46.0,47.093,46.187,46.375,44.937,47.093,0,305,3,665,2646
1.534,483,3502,1127,46.0,46.593,46.406,46.312,44.906,46.593,0,305,3,665,2646
1.653,483,3502,1127,46.093,46.75,46.187,46.375,44.937,46.75,0,306,3,665,2646
1.771,483,3502,1127,45.625,46.843,46.218,46.375,44.968,46.843,0,306,3,665,2645
1.902,483,3502,1127,45.687,46.718,46.187,46.375,44.906,46.718,0,305,3,665,2645
2.018,483,3502,1127,45.687,46.843,46.312,46.406,44.937,46.843,0,305,3,665,2645
2.149,483,3502,1127,45.781,46.687,46.218,46.406,44.906,46.687,0,305,3,665,2646
2.267,483,3502,1127,45.906,46.75,46.218,46.375,45.0,46.75,0,305,3,665,2646
2.384,483,3502,1127,45.843,46.687,46.187,46.437,44.937,46.843,0,306,3,665,2646
2.501,483,3502,1127,45.656,46.75,46.25,46.437,45.0,46.75,0,305,3,665,2646
