t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,563,3663,1127,45.968,46.75,46.187,46.312,44.937,46.75,0,306,3,665,2624
0.118,523,3623,1127,46.0,46.812,46.218,46.343,44.906,46.812,0,305,3,665,2624
0.235,523,3582,1127,45.531,46.968,46.281,46.312,44.906,46.968,0,305,3,665,2624
0.362,523,3663,1127,45.656,46.531,46.156,46.312,44.906,46.531,0,305,3,665,2624
0.479,563,3743,1127,45.781,46.656,46.156,46.312,44.875,46.656,0,305,3,665,2633
0.595,603,3824,1127,46.0,46.593,46.187,46.312,44.875,46.593,0,305,3,665,2667
0.712,644,3864,1127,46.0,46.75,46.25,46.375,44.843,46.75,0,306,4,665,2682
0.832,603,3904,1127,45.625,46.75,46.218,46.375,44.875,46.75,0,305,4,665,2721
0.951,644,3945,1127,45.75,46.687,46.25,46.531,44.937,46.687,4,305,4,665,2719
1.068,1322,5016,1284,45.937,47.406,46.406,46.5,45.0,47.406,99,899,2,2133,2719
1.184,2116,6200,1480,46.031,47.781,46.312,46.468,45.062,47.781,99,899,4,2133,2719
1.299,2706,7068,1634,46.031,47.906,46.343,46.468,45.187,47.906,99,899,6,2133,2719
1.414,3139,7722,1711,46.062,48.343,46.343,46.375,45.281,48.343,99,899,8,2133,2719
1.531,3491,8227,1788,46.156,48.062,46.375,46.562,45.312,48.062,99,900,10,2133,2723
1.648,3723,8584,1867,46.156,48.468,46.437,46.437,45.312,48.468,99,900,11,2133,2723
1.763,3921,8888,1904,46.312,48.187,46.531,46.5,45.468,48.187,99,899,13,2133,2723
1.877,4034,9086,1944,46.593,48.625,46.5,46.437,45.468,48.625,99,899,14,2133,2721
1.992,4152,9245,1980,46.281,48.468,46.437,46.468,45.5,48.468,99,900,15,2133,2721
2.107,4232,9388,1980,46.312,48.375,46.437,46.406,45.593,48.375,99,899,16,2133,2721
2.223,4271,9428,1980,46.625,48.312,46.437,46.562,45.531,48.312,99,899,17,2133,2721
2.34,4350,9507,2020,46.687,48.468,46.562,46.562,45.625,48.468,99,900,18,2133,2721
2.456,4383,9587,2020,46.781,48.593,46.562,46.468,45.625,48.593,99,899,19,2133,2721
2.571,4383,9626,2020,46.656,48.625,46.593,46.625,45.625,48.625,99,899,20,2133,2721
2.686,4422,9666,2020,46.75,48.562,46.531,46.531,45.656,48.562,99,899,20,2133,2720
2.8,4422,9666,2020,46.687,48.937,46.562,46.593,45.75,48.937,99,900,21,2133,2720
2.916,4422,9705,2020,46.718,48.843,46.593,46.593,45.656,48.843,99,898,22,2133,2720
3.032,4462,9705,2020,46.875,49.0,46.781,46.593,45.687,49.0,99,899,22,2133,2720
3.147,4462,9705,2017,46.656,48.906,46.687,46.531,45.687,48.906,99,898,23,2133,2720
3.261,4462,9745,2056,46.625,48.781,46.75,46.875,45.875,48.781,99,899,23,2133,2720
3.377,4462,9745,2056,46.718,48.718,46.812,46.812,45.906,48.718,99,898,23,2133,2720
3.493,4462,9745,2056,46.656,48.781,46.781,46.812,45.906,48.781,99,900,24,2133,2720
3.608,4462,9745,2056,46.593,48.75,46.718,46.812,45.875,48.75,99,899,24,2133,2720
3.723,4501,9745,2056,46.593,49.218,46.75,46.781,45.937,49.218,99,900,24,2133,2721
3.84,4501,9745,2056,46.687,48.75,46.75,46.812,45.937,48.75,99,900,25,2133,2721
3.957,4501,9785,2056,46.75,49.218,46.875,46.812,45.937,49.218,99,900,25,2133,2721
4.073,4501,9745,2056,46.812,48.812,46.906,46.781,45.937,48.812,99,899,25,2133,2721
4.187,4501,9745,2056,46.937,49.406,46.812,46.875,45.906,49.406,99,899,25,2133,2721
4.302,4501,9745,2056,46.656,49.125,46.812,46.718,46.0,49.125,99,900,26,2133,2721
4.418,4501,9785,2056,46.687,49.062,46.812,46.812,46.0,49.062,99,900,26,2133,2721
4.534,4501,9785,2056,47.125,49.156,46.875,46.843,46.0,49.156,99,899,26,2133,2721
4.648,4501,9745,2056,47.125,48.968,46.843,46.781,46.093,48.968,99,899,26,2133,2721
4.763,4501,9745,2056,47.25,49.0,46.812,46.843,46.031,49.0,99,899,26,2133,2721
4.881,4501,9808,2056,47.062,49.156,46.843,46.906,46.031,49.156,99,899,26,2133,2721
4.997,4501,9808,2056,47.125,49.031,46.875,46.843,46.093,49.031,99,900,26,2133,2721
5.112,4501,9808,2056,47.093,49.468,46.812,46.812,46.0,49.468,99,899,26,2133,2721
5.227,4462,9808,2056,47.093,48.937,46.781,46.875,46.125,48.937,99,900,27,2133,2721
5.343,4501,9769,2056,47.125,49.531,47.093,46.843,46.031,49.531,99,900,27,2133,2721
5.459,4501,9769,2056,47.312,49.343,46.906,46.906,46.093,49.343,99,899,27,2133,2721
5.573,4501,9785,2056,47.0,49.187,47.031,47.062,46.25,49.187,99,900,27,2133,2721
5.688,4501,9785,2056,47.0,49.312,47.093,47.062,46.093,49.312,99,900,27,2133,2721
5.802,4501,9769,2056,46.906,49.281,47.031,47.0,46.125,49.281,99,899,27,2133,2721
5.917,4501,9769,2056,47.0,49.156,47.0,46.968,46.218,49.156,99,900,27,2133,2721
6.033,4501,9769,2056,47.0,49.093,47.031,47.031,46.187,49.093,99,899,27,2133,2721
6.148,4501,9785,2056,46.937,49.468,47.031,47.062,46.156,49.468,99,899,27,2133,2721
6.265,4501,9745,2056,47.5,49.187,47.031,47.062,46.281,49.187,99,900,27,2133,2721
6.38,4501,9745,2056,47.468,49.5,47.062,47.031,46.218,49.5,99,898,27,2133,2721
6.494,4462,9745,2056,47.218,49.281,46.937,47.062,46.218,49.281,99,899,27,2133,2720
6.609,4462,9745,2056,47.187,49.312,47.062,46.968,46.281,49.312,99,900,27,2133,2720
6.724,4462,9745,2056,47.281,49.187,47.093,46.968,46.25,49.187,99,899,27,2133,2720
6.839,4462,9745,2056,47.343,49.375,47.218,47.343,46.312,49.375,99,899,27,2133,2720
6.954,4501,9745,2056,47.187,49.281,47.218,47.187,46.343,49.281,99,900,27,2133,2720
7.07,4462,9745,2056,47.125,49.562,47.281,47.25,46.281,49.562,99,898,27,2133,2720
7.186,4462,9729,2056,47.093,49.281,47.25,47.281,46.375,49.281,99,899,27,2133,2720
7.301,4462,9745,2056,47.281,49.718,47.218,47.187,46.406,49.718,99,899,27,2133,2720
7.416,4462,9745,2056,47.125,49.468,47.093,47.25,46.343,49.468,99,899,27,2133,2720
7.531,4501,9729,2056,47.125,49.343,47.125,47.187,46.343,49.343,99,899,27,2133,2720
7.646,4462,9745,2056,47.125,49.281,47.25,47.218,46.281,49.281,99,898,27,2133,2720
7.762,4462,9745,2056,47.531,49.406,47.156,47.281,46.406,49.406,99,900,27,2133,2720
7.877,4462,9729,2056,47.656,49.343,47.187,47.218,46.468,49.343,99,899,27,2133,2720
7.993,4501,9785,2056,47.437,49.375,47.281,47.156,46.5,49.375,99,898,27,2133,2720
8.108,4501,9769,2056,47.218,49.343,47.25,47.218,46.406,49.343,99,898,27,2133,2720
8.224,4462,9745,2056,47.468,49.812,47.218,47.156,46.406,49.812,99,898,27,2133,2720
8.34,4462,9729,2056,47.5,49.656,47.187,47.218,46.375,49.406,99,899,27,2133,2720
8.456,4462,9729,2056,47.593,49.843,47.25,47.25,46.468,49.843,99,898,27,2133,2720
8.572,4462,9729,2056,47.593,49.593,47.25,47.218,46.5,49.593,99,899,27,2133,2719
8.688,4501,9785,2056,47.625,49.875,47.187,47.187,46.531,49.875,99,899,27,2133,2719
8.805,4462,9745,2056,47.5,49.625,47.281,47.281,46.437,49.625,99,899,27,2133,2719
8.92,4462,9745,2056,47.562,49.937,47.343,47.218,46.531,49.937,99,899,27,2133,2719
9.037,4462,9729,2056,47.531,49.687,47.25,47.281,46.531,49.687,99,899,27,2133,2719
9.152,4462,9729,2056,47.562,49.531,47.312,47.312,46.5,49.531,99,899,27,2133,2719
9.267,4501,9745,2056,47.562,49.812,47.281,47.281,46.437,49.812,99,899,27,2133,2719
9.383,4462,9729,2056,47.75,49.718,47.312,47.281,46.406,49.718,99,899,27,2133,2719
9.498,4462,9745,2056,47.437,49.468,47.468,47.312,46.562,49.468,99,898,27,2133,2717
9.614,4462,9745,2056,47.406,49.593,47.5,47.531,46.5,49.593,99,900,27,2133,2717
9.73,4462,9729,2056,47.5,49.562,47.531,47.562,46.718,49.562,99,899,27,2133,2717
9.844,4501,9729,2056,47.437,50.125,47.406,47.531,46.718,50.125,99,899,27,2133,2717
9.959,4501,9729,2056,47.437,49.812,47.437,47.437,46.75,49.812,99,899,27,2133,2717
10.074,4462,9745,2056,47.531,49.75,47.437,47.375,46.687,49.75,99,899,27,2133,2717
10.188,4501,9769,2056,47.875,49.562,47.468,47.437,46.625,49.562,99,899,27,2133,2717
10.303,4501,9808,2056,47.718,49.562,47.343,47.375,46.593,49.562,99,899,27,2133,2717
10.418,4501,9769,2056,47.312,49.656,47.375,47.343,46.593,49.656,99,898,27,2133,2717
10.534,4501,9769,2056,47.687,49.625,47.562,47.375,46.656,49.625,99,899,27,2133,2716
10.649,4462,9785,2056,47.75,49.906,47.406,47.406,46.656,49.906,99,899,27,2133,2716
10.763,4462,9808,2056,47.812,49.843,47.468,47.312,46.625,49.843,99,899,27,2133,2716
10.877,4462,9808,2056,47.531,49.718,47.5,47.625,46.812,49.718,99,898,27,2133,2715
10.991,4501,9769,2056,47.593,49.593,47.562,47.562,46.75,49.593,99,899,27,2133,2715
11.106,4501,9808,2056,47.812,50.062,47.468,47.562,46.812,50.062,99,899,28,2133,2715
11.222,4501,9769,2056,47.5,49.75,47.625,47.531,46.75,49.75,99,898,28,2133,2715
11.337,4501,9769,2056,47.531,50.156,47.593,47.562,46.718,50.156,99,898,28,2133,2715
11.452,4501,9769,2056,47.531,49.937,47.562,47.531,46.75,49.937,99,898,28,2133,2715
11.567,4501,9769,2056,48.0,49.875,47.562,47.468,46.718,49.875,99,900,28,2133,2714
11.682,4501,9769,2056,48.031,49.75,47.562,47.468,46.75,49.75,99,898,28,2133,2715
11.798,4501,9808,2056,47.875,49.875,47.625,47.562,46.843,49.875,99,899,28,2133,2715
11.913,4501,9808,2056,47.843,49.781,47.593,47.562,46.75,49.781,99,899,28,2133,2715
12.028,4501,9769,2056,47.781,50.25,47.562,47.562,46.812,50.25,99,899,28,2133,2715
12.143,4501,9769,2056,47.781,50.031,47.687,47.781,46.781,50.031,99,898,28,2133,2715
12.257,4501,9769,2056,47.562,49.906,47.718,47.687,46.875,49.906,99,899,28,2133,2715
12.371,4501,9769,2056,47.656,49.875,47.718,47.625,46.843,49.875,99,899,28,2133,2715
12.485,4501,9769,2056,47.812,50.375,47.625,47.687,46.875,50.375,99,899,28,2133,2715
12.6,4501,9785,2056,47.906,50.218,47.593,47.718,46.875,50.218,99,899,28,2133,2714
12.715,4501,9769,2056,47.656,50.343,47.656,47.687,46.875,50.343,99,898,28,2133,2714
12.832,4501,9769,2056,47.593,50.093,47.75,47.656,46.937,50.093,99,898,28,2133,2714
12.947,4501,9769,2056,48.031,49.968,47.687,47.718,46.812,49.968,99,899,28,2133,2714
13.062,4501,9769,2056,48.156,49.906,47.687,47.593,46.968,50.156,99,899,28,2133,2714
13.179,4501,9769,2056,48.187,50.093,47.656,47.656,46.906,50.093,99,899,28,2133,2714
13.293,4501,9785,2056,47.968,49.906,47.718,47.718,47.031,49.906,99,898,28,2133,2714
13.411,4501,9769,2056,48.031,50.062,47.718,47.656,47.0,50.062,99,898,28,2133,2714
13.528,4501,9769,2056,47.906,50.218,47.75,47.718,46.968,50.218,99,899,28,2133,2713
13.645,4501,9769,2056,48.031,50.093,47.75,47.781,46.968,50.531,99,899,28,2133,2713
13.761,4501,9785,2056,48.125,50.25,47.812,47.781,47.0,50.25,99,899,28,2133,2713
13.876,4501,9769,2056,48.156,50.125,47.75,47.75,46.875,50.125,99,898,28,2133,2713
13.992,4501,9769,2056,48.187,50.25,47.718,47.75,47.0,50.25,99,898,28,2133,2713
14.108,4501,9769,2056,48.031,50.187,47.75,47.75,47.0,50.187,99,900,28,2133,2713
14.224,4501,9769,2056,48.062,50.125,47.75,47.781,47.062,50.125,99,898,28,2133,2713
14.34,4501,9769,2056,48.031,50.156,47.812,47.718,47.062,50.156,99,898,28,2133,2713
14.454,4501,9769,2056,48.125,50.093,47.968,47.718,47.062,50.093,99,898,28,2133,2713
14.569,4501,9769,2056,47.937,50.031,47.937,47.937,47.156,50.031,99,899,28,2133,2713
14.685,4501,9769,2056,47.906,50.406,47.906,48.062,47.125,50.406,99,898,28,2133,2713
14.801,4501,9769,2056,48.0,49.968,47.875,48.031,47.125,49.968,99,899,28,2133,2713
14.917,4501,9769,2056,48.031,50.312,47.968,47.968,47.062,50.312,99,899,28,2133,2713
15.033,4501,9769,2056,48.031,50.062,47.968,47.968,47.125,50.062,99,899,28,2133,2713
15.147,4501,9769,2056,47.968,50.437,48.0,47.906,47.187,50.437,99,899,28,2133,2713
15.262,4501,9769,2056,48.0,50.25,47.875,47.968,47.156,50.25,99,898,28,2133,2713
15.377,4501,9769,2056,47.968,50.25,47.968,47.843,47.125,50.25,99,898,28,2133,2713
15.493,4501,9769,2056,48.406,50.156,47.843,47.906,47.187,50.156,99,899,28,2133,2712
15.608,4501,9769,2056,48.156,50.25,47.906,47.937,47.281,50.25,99,898,28,2133,2712
15.723,4501,9769,2056,48.187,50.062,47.843,47.906,47.218,50.062,99,898,28,2133,2712
15.837,4501,9769,2056,48.156,50.562,47.937,47.875,47.25,50.562,99,899,28,2133,2712
15.953,4501,9808,2056,48.25,50.375,47.843,47.937,47.187,50.375,99,900,28,2133,2712
16.069,4501,9808,2056,48.25,50.343,47.906,47.843,47.25,50.562,99,898,28,2133,2712
16.185,4501,9808,2056,48.281,50.437,48.0,47.875,47.281,50.437,99,900,28,2133,2712
16.3,4501,9769,2056,48.093,50.281,48.125,48.125,47.218,50.281,99,898,28,2133,2712
16.414,4501,9769,2056,48.0,50.218,48.031,48.125,47.25,50.218,99,899,28,2133,2712
16.529,4501,9769,2056,48.093,50.656,48.125,48.062,47.25,50.656,99,898,28,2133,2710
16.645,4501,9769,2056,48.031,50.218,48.125,48.093,47.312,50.218,99,898,28,2133,2711
16.761,4501,9769,2056,47.968,50.687,48.062,48.125,47.375,50.687,99,899,28,2133,2711
16.876,4501,9769,2056,48.093,50.437,48.125,48.125,47.375,50.437,99,899,28,2133,2711
16.992,4501,9769,2056,48.062,50.75,48.031,48.093,47.312,50.75,99,899,28,2133,2711
17.107,4501,9769,2056,47.968,50.562,48.062,48.125,47.343,50.562,99,898,28,2133,2711
17.222,4501,9769,2056,48.375,50.437,48.093,48.093,47.375,50.437,99,899,28,2133,2711
17.336,4501,9769,2056,48.031,50.375,48.062,48.062,47.406,50.375,99,899,28,2133,2711
17.452,4501,9769,2056,48.281,50.812,48.031,48.062,47.375,50.5,99,899,28,2133,2711
17.566,4501,9769,2056,48.375,50.656,48.093,48.062,47.375,50.656,99,898,28,2133,2711
17.681,4501,9769,2056,48.437,50.843,48.093,48.031,47.281,50.843,99,898,28,2133,2711
17.797,4501,9769,2056,48.218,50.625,48.281,48.093,47.281,50.625,99,899,28,2133,2711
17.911,4501,9769,2056,48.312,50.437,48.281,48.25,47.437,50.437,99,898,28,2133,2711
18.025,4501,9769,2056,48.312,50.437,48.187,48.218,47.437,50.437,99,899,28,2133,2711
18.141,4501,9769,2056,48.062,50.437,48.218,48.25,47.437,50.437,99,898,28,2133,2711
18.255,4501,9769,2056,48.187,50.718,48.093,48.281,47.406,50.718,99,899,28,2133,2711
18.369,4501,9769,2056,48.593,50.593,48.187,48.218,47.468,50.593,99,898,28,2133,2711
18.484,4501,9769,2056,48.656,50.468,48.156,48.156,47.468,50.468,99,899,28,2133,2711
18.6,4501,9808,2056,48.843,50.625,48.125,48.187,47.5,50.625,99,899,28,2133,2711
18.715,4501,9848,2056,48.437,50.5,48.156,48.25,47.468,50.5,99,899,28,2133,2711
18.831,4501,9848,2056,48.468,50.437,48.218,48.218,47.375,50.437,99,899,28,2133,2711
18.947,4501,9808,2056,48.406,50.562,48.187,48.218,47.468,50.562,99,899,28,2133,2711
19.063,4501,9808,2056,48.5,50.468,48.156,48.125,47.406,50.468,99,898,28,2133,2711
19.178,4501,9808,2056,48.625,50.906,48.093,48.187,47.468,50.906,99,898,28,2133,2711
19.292,4501,9808,2056,48.312,50.718,48.343,48.437,47.531,50.718,99,899,28,2133,2711
19.408,4501,9808,2056,48.375,50.906,48.375,48.312,47.406,50.906,99,899,28,2133,2711
19.524,4501,9808,2056,48.406,50.656,48.312,48.437,47.562,50.656,99,899,28,2133,2711
19.64,4501,9808,2056,48.531,50.687,48.406,48.312,47.562,50.968,99,900,28,2133,2711
19.755,4501,9769,2056,48.375,50.75,48.375,48.343,47.625,50.75,99,898,28,2133,2711
19.869,4501,9769,2056,48.437,50.656,48.343,48.375,47.593,50.656,99,899,28,2133,2711
19.985,4501,9769,2056,48.437,50.562,48.281,48.406,47.625,50.562,99,898,28,2133,2711
20.101,4501,9769,2056,48.937,50.718,48.281,48.312,47.593,50.718,99,899,28,2133,2711
20.216,4501,9769,2056,48.656,50.593,48.218,48.312,47.562,50.593,99,899,28,2133,2711
20.333,4501,9769,2056,48.375,51.125,48.343,48.437,47.562,51.125,99,899,28,2133,2711
20.448,4501,9769,2056,48.375,50.625,48.343,48.406,47.593,50.625,99,899,28,2133,2711
20.564,4501,9769,2056,48.406,51.093,48.281,48.375,47.593,51.093,99,898,28,2133,2710
