t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,920,4447,1362,45.843,46.718,46.406,46.437,44.937,46.718,0,305,6,665,2641
0.123,841,4213,1284,45.75,46.781,46.25,46.437,45.0,46.781,0,305,6,665,2641
0.241,722,4012,1243,45.656,46.656,46.312,46.437,44.968,46.656,0,305,5,665,2641
0.359,682,3898,1205,45.656,46.843,46.375,46.437,44.937,46.843,0,305,5,665,2641
0.488,643,3778,1205,45.687,47.093,46.25,46.5,44.937,47.093,0,305,5,665,2640
0.603,602,3737,1165,46.093,46.937,46.156,46.375,44.968,46.937,0,305,5,665,2640
0.719,562,3703,1167,45.875,47.125,46.218,46.437,44.937,47.125,0,305,5,665,2640
0.836,522,3663,1167,45.593,46.718,46.281,46.468,44.875,46.718,0,305,4,665,2640
0.954,522,3623,1127,45.625,47.062,46.25,46.437,44.937,47.062,0,305,4,665,2640
1.084,522,3582,1127,45.593,46.875,46.25,46.406,45.0,46.875,0,305,4,665,2640
1.2,523,3542,1127,45.718,46.968,46.281,46.375,44.968,46.968,0,305,4,665,2640
1.317,483,3542,1127,45.625,46.843,46.25,46.406,44.937,46.843,0,306,4,665,2640
1.434,483,3502,1127,45.593,46.937,46.312,46.468,44.906,46.937,0,305,4,665,2639
1.549,483,3502,1127,45.625,46.875,46.25,46.375,45.0,46.875,0,305,4,665,2639
1.665,483,3502,1127,45.593,46.968,46.218,46.437,45.0,46.968,0,305,4,665,2639
1.781,483,3502,1127,45.625,46.812,46.281,46.468,44.875,46.812,0,305,3,665,2639
1.897,483,3502,1127,45.562,47.062,46.187,46.375,44.968,47.062,0,305,3,665,2639
2.014,483,3502,1127,45.562,46.843,46.125,46.375,44.843,46.843,0,305,3,665,2639
2.131,483,3502,1127,45.593,46.937,46.312,46.406,44.906,46.937,0,306,3,665,2639
2.248,483,3542,1127,45.625,46.625,46.25,46.312,44.875,46.625,3,305,3,665,2639
2.365,483,3502,1127,45.656,46.968,46.343,46.437,44.906,46.968,0,305,3,665,2639
2.493,483,3502,1127,45.625,46.812,46.25,46.312,44.906,46.812,0,305,3,665,2638
2.61,483,3502,1127,45.687,46.875,46.187,46.343,44.843,46.875,0,305,3,665,2638
2.727,483,3542,1127,45.625,46.75,46.187,46.406,44.937,46.75,0,305,3,665,2638
2.844,483,3502,1127,45.593,46.937,46.187,46.531,44.906,46.937,7,305,3,665,2638
2.973,483,3502,1127,45.593,46.812,46.156,46.437,44.937,46.812,0,305,3,665,2638
3.096,563,3663,1127,45.843,46.593,46.093,46.312,44.875,46.593,0,305,3,665,2638
