t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,562,3743,1127,46.031,46.593,46.125,46.312,44.843,46.906,0,305,3,665,2632
0.117,523,3663,1127,45.562,46.781,46.187,46.312,44.875,46.781,0,305,3,665,2632
0.233,523,3623,1127,45.406,46.875,46.156,46.312,44.843,46.875,0,305,3,665,2632
0.365,602,3743,1167,45.687,46.625,46.156,46.312,44.875,46.625,4,305,3,665,2654
0.491,682,4019,1245,45.687,46.781,46.093,46.281,44.843,46.781,0,305,1,2133,2701
0.616,683,4019,1205,45.781,47.0,46.187,46.218,44.781,47.0,0,305,4,665,2726
0.736,683,4019,1205,45.906,46.656,46.062,46.218,44.843,46.656,1,305,4,665,2733
0.852,882,4421,1243,45.968,47.031,46.156,46.218,44.875,47.031,99,603,1,2133,2816
0.967,1520,5488,1482,46.093,47.343,46.187,46.281,44.968,47.343,99,603,4,2133,2816
1.081,1993,6309,1637,45.812,47.875,46.312,46.437,44.906,47.875,99,602,6,2133,2816
1.198,2348,6897,1754,45.875,47.531,46.125,46.312,45.0,47.531,99,603,8,2133,2816
1.316,2583,7364,1831,46.375,47.656,46.125,46.312,45.125,47.656,99,601,10,2133,2816
1.434,2821,7722,1910,46.187,47.656,46.25,46.312,45.062,47.656,99,603,11,2133,2816
1.55,2936,7988,1947,46.125,47.75,46.218,46.312,45.125,47.75,99,602,13,2133,2816
1.666,3055,8187,1987,46.25,47.718,46.312,46.312,45.125,47.718,99,602,14,2133,2816
1.781,3169,8306,2023,46.343,47.875,46.312,46.281,45.25,47.875,99,602,15,2133,2816
1.896,3208,8412,2023,46.406,47.812,46.468,46.312,45.187,47.812,99,602,17,2133,2816
2.011,3248,8491,2063,46.187,48.343,46.406,46.312,45.312,48.343,99,601,17,2133,2816
2.127,3288,8570,2063,46.218,48.156,46.5,46.562,45.343,48.156,99,602,18,2133,2816
2.243,3327,8610,2063,46.25,48.343,46.437,46.562,45.375,48.343,99,601,19,2133,2816
2.36,3367,8650,2063,46.343,48.187,46.468,46.562,45.343,48.187,99,602,20,2133,2816
2.475,3367,8650,2063,46.25,48.062,46.531,46.562,45.343,48.406,99,602,21,2133,2816
2.589,3367,8689,2063,46.218,48.281,46.531,46.531,45.468,48.281,99,602,21,2133,2816
2.706,3406,8729,2103,46.218,48.156,46.593,46.562,45.562,48.156,99,602,22,2133,2816
2.821,3401,8729,2103,46.281,48.062,46.5,46.562,45.593,48.062,99,603,23,2133,2816
2.936,3401,8729,2103,46.218,48.125,46.593,46.531,45.468,48.125,99,601,23,2133,2816
3.052,3401,8769,2099,46.25,48.062,46.531,46.5,45.468,48.062,99,602,24,2133,2816
3.166,3401,8769,2099,46.312,48.562,46.5,46.468,45.562,48.562,99,602,24,2133,2816
3.282,3401,8808,2099,46.625,48.375,46.593,46.562,45.531,48.375,99,603,24,2133,2816
3.399,3401,8808,2099,46.625,48.656,46.593,46.562,45.562,48.656,99,602,25,2133,2816
3.515,3401,8808,2099,46.718,48.375,46.562,46.593,45.593,48.375,99,602,25,2133,2816
3.634,3401,8808,2099,46.375,48.281,46.531,46.656,45.593,48.281,99,602,25,2133,2816
3.748,3401,8808,2099,46.25,48.218,46.562,46.562,45.656,48.218,99,602,26,2133,2816
3.864,3401,8808,2099,46.343,48.656,46.562,46.562,45.625,48.656,99,603,26,2133,2816
3.978,3401,8808,2099,46.593,48.406,46.625,46.5,45.718,48.406,99,602,26,2133,2816
4.095,3401,8808,2099,46.687,48.718,46.593,46.593,45.625,48.718,99,603,26,2133,2816
4.21,3401,8808,2099,46.812,48.5,46.593,46.468,45.562,48.5,99,603,26,2133,2816
4.326,3401,8769,2099,46.75,48.406,46.593,46.625,45.625,48.406,99,603,27,2133,2814
4.441,3401,8769,2099,46.875,48.312,46.593,46.562,45.625,48.312,99,602,27,2133,2814
4.557,3401,8769,2099,46.593,48.468,46.625,46.625,45.687,48.468,99,601,27,2133,2814
4.673,3401,8808,2099,46.656,48.312,46.687,46.625,45.625,48.312,99,602,27,2133,2814
4.789,3441,8808,2099,46.718,48.437,46.593,46.687,45.687,48.437,99,602,27,2133,2814
4.913,3401,8808,2099,46.468,48.343,46.687,46.687,45.75,48.343,99,602,27,2133,2814
5.03,3401,8848,2099,46.5,48.406,46.75,46.781,45.781,48.406,99,602,27,2133,2814
5.144,3441,8848,2099,46.75,48.343,46.75,46.75,45.75,48.343,99,601,27,2133,2814
5.265,3441,8848,2099,46.593,48.5,46.812,46.812,45.906,48.5,99,601,27,2133,2814
5.381,3441,8848,2099,46.656,48.562,46.937,46.843,45.875,48.562,99,602,28,2133,2814
5.497,3401,8808,2099,46.593,48.5,46.781,46.906,45.75,48.5,99,603,28,2133,2814
5.613,3401,8808,2099,46.687,48.562,46.812,46.812,45.843,48.562,99,601,28,2133,2814
5.728,3401,8808,2099,46.5,48.531,46.781,46.843,45.843,48.531,99,602,28,2133,2814
5.843,3401,8808,2099,46.562,48.437,46.75,46.875,45.875,48.437,99,601,28,2133,2814
5.958,3401,8808,2099,46.687,48.812,46.843,46.75,45.781,48.812,99,602,28,2133,2814
6.076,3441,8808,2099,46.625,48.406,46.812,46.812,45.906,48.406,99,602,28,2133,2814
6.192,3401,8808,2099,46.531,48.5,46.875,46.875,45.937,48.5,99,602,28,2133,2814
6.308,3401,8808,2099,46.593,48.437,46.75,46.843,46.0,48.437,99,601,28,2133,2814
6.423,3401,8808,2099,46.718,48.906,46.843,46.843,45.875,48.906,99,602,28,2133,2814
6.537,3401,8808,2099,47.0,48.781,46.75,46.75,45.875,48.781,99,602,28,2133,2814
6.653,3441,8808,2099,47.031,48.968,46.875,46.812,45.875,48.968,99,601,28,2133,2814
6.769,3441,8794,2099,47.031,48.781,46.875,46.843,45.843,48.781,99,602,28,2133,2814
6.885,3401,8769,2099,46.656,48.593,46.812,46.843,45.875,48.593,99,603,28,2133,2814
7.0,3401,8769,2099,46.875,48.781,46.906,46.843,45.875,48.781,99,602,28,2133,2814
7.115,3401,8729,2099,46.937,48.593,46.875,46.812,45.937,48.593,99,603,28,2133,2814
7.231,3401,8769,2099,47.031,48.562,46.875,46.875,45.906,48.562,99,602,28,2133,2814
7.348,3401,8769,2099,47.062,48.656,46.812,46.812,45.875,48.656,99,603,28,2133,2814
7.464,3401,8769,2099,47.125,48.625,46.875,46.843,45.906,48.625,99,602,28,2133,2814
7.579,3401,8769,2099,46.781,48.656,46.812,46.812,45.906,48.656,99,601,28,2133,2814
7.694,3401,8808,2099,46.875,48.562,47.093,47.093,45.843,48.562,99,602,28,2133,2814
