t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1080,4607,1322,45.5,46.406,45.906,45.843,44.375,46.406,0,305,6,665,2653
0.118,921,4333,1284,45.625,46.093,45.656,45.781,44.437,46.093,19,306,6,665,2653
0.248,802,4093,1243,45.593,46.375,45.593,45.781,44.343,46.375,0,306,5,665,2653
0.368,722,3938,1205,45.187,46.562,45.656,45.812,44.406,46.562,0,305,5,665,2653
0.485,683,3818,1165,45.093,46.093,45.687,45.781,44.406,46.093,0,305,5,665,2653
0.602,602,3737,1165,45.25,46.218,45.687,45.843,44.468,46.218,0,306,5,665,2653
0.719,602,3703,1165,45.25,46.125,45.656,45.843,44.437,46.281,22,306,5,665,2653
0.836,562,3623,1127,45.125,46.125,45.625,45.875,44.343,46.125,0,305,4,665,2653
0.953,522,3582,1127,45.156,46.375,45.718,45.843,44.437,46.375,0,305,4,665,2652
1.072,523,3582,1127,45.281,46.406,45.718,45.875,44.437,46.406,0,305,4,665,2652
1.191,523,3542,1127,45.218,46.062,45.593,45.656,44.312,46.062,0,305,4,665,2652
1.309,523,3542,1127,45.218,46.156,45.625,45.718,44.281,46.156,0,306,4,665,2652
1.426,483,3542,1127,45.312,46.281,45.687,45.718,44.406,46.281,0,305,4,665,2652
1.543,483,3502,1127,45.375,46.375,45.531,45.687,44.343,46.375,0,305,4,665,2652
1.66,483,3502,1127,45.312,46.281,45.625,45.75,44.406,46.281,0,305,4,665,2652
1.777,483,3502,1127,45.5,46.437,45.562,45.781,44.312,46.437,0,305,3,665,2652
1.892,483,3502,1127,45.343,46.375,45.687,45.718,44.343,46.375,0,305,3,665,2652
2.01,483,3502,1127,45.468,46.437,45.625,45.843,44.343,46.437,0,306,3,665,2651
2.127,483,3462,1127,45.093,46.031,45.593,45.812,44.312,46.031,0,305,3,665,2651
2.243,483,3462,1127,45.187,46.375,45.593,45.843,44.437,46.375,0,305,3,665,2651
2.36,483,3462,1127,45.218,46.031,45.625,45.812,44.343,46.031,0,305,3,665,2651
2.477,483,3502,1127,45.218,46.062,45.687,45.75,44.375,46.062,0,305,3,665,2651
2.594,483,3502,1127,45.125,45.937,45.656,45.812,44.312,45.937,0,305,3,665,2651
2.711,483,3502,1127,45.093,46.125,45.625,45.843,44.375,46.125,0,306,3,665,2651
2.829,483,3502,1127,45.125,46.25,45.625,45.875,44.406,46.25,0,306,3,665,2651
2.946,483,3502,1127,45.125,46.406,45.687,45.875,44.312,46.406,0,305,3,665,2651
3.075,483,3542,1127,45.125,46.5,45.625,45.843,44.375,46.5,0,305,3,665,2649
3.192,483,3542,1127,45.218,46.062,45.718,45.843,44.312,46.062,0,306,3,665,2649
3.308,483,3502,1127,45.0,46.593,45.656,45.843,44.375,46.593,0,305,3,665,2649
3.423,483,3502,1127,45.031,46.031,45.593,45.843,44.281,46.031,0,305,3,665,2649
3.54,483,3502,1127,45.125,46.531,45.625,45.843,44.343,46.531,0,305,3,665,2649
3.669,483,3502,1127,45.562,46.312,45.593,45.812,44.312,46.312,0,305,3,665,2649
3.784,483,3502,1127,45.468,46.125,45.593,45.781,44.375,46.125,0,305,3,665,2649
3.9,483,3502,1127,44.968,46.281,45.625,45.781,44.25,46.281,0,306,3,665,2649
4.017,483,3502,1127,45.031,46.156,45.625,45.75,44.25,46.156,0,305,3,665,2649
4.138,483,3502,1127,45.156,46.031,45.75,45.875,44.406,46.031,0,305,3,665,2649
4.255,483,3502,1127,45.187,46.093,45.687,45.875,44.375,46.093,0,306,3,665,2649
