t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,562,3703,1167,45.312,46.218,45.625,45.687,44.187,46.218,0,306,3,665,2636
0.117,563,3663,1127,45.218,46.312,45.531,45.75,44.281,46.312,0,305,3,665,2636
0.234,523,3623,1127,45.437,46.125,45.562,45.687,44.187,46.125,0,305,3,665,2636
0.363,602,3703,1127,45.843,46.062,45.656,45.75,44.312,46.062,4,305,3,665,2655
0.479,802,4099,1245,45.625,46.125,45.625,45.718,44.281,46.125,21,305,1,2133,2741
0.622,1240,4847,1362,45.531,46.937,45.593,45.625,44.406,46.937,99,306,6,665,2844
0.739,2667,6868,1634,45.875,47.906,45.593,45.656,44.5,47.906,99,1005,5,2133,2844
0.854,3690,8359,1791,45.656,48.031,45.562,45.656,44.687,48.031,99,1006,8,2133,2844
0.969,4476,9483,1944,45.812,48.093,45.812,45.875,44.781,48.093,99,1005,11,2133,2844
1.085,5014,10300,2060,45.781,48.156,45.843,46.0,44.937,48.156,99,1005,13,2133,2844
1.199,5598,11390,2412,45.906,48.968,45.937,45.843,45.031,48.968,99,1005,10,3199,2844
1.312,6100,12359,2764,46.531,48.843,45.968,45.875,45.062,48.843,99,1006,12,3199,2844
1.426,6483,13088,2996,46.468,48.843,46.093,45.906,45.187,48.843,99,1006,14,3199,2844
1.54,6747,13657,3188,46.093,48.906,45.968,45.906,45.281,48.906,99,1006,15,3199,2844
1.654,6983,14090,3340,46.468,49.406,46.062,45.937,45.406,49.406,99,1006,16,3199,2844
1.769,7089,14366,3458,46.687,49.312,46.312,46.156,45.5,49.312,99,1004,18,3199,2844
1.884,7246,14618,3536,46.562,49.281,46.281,45.937,45.531,49.281,99,1004,19,3199,2844
2.001,7363,14814,3615,46.656,49.531,46.375,46.25,45.625,49.531,99,1006,20,3199,2844
2.115,7429,14971,3648,46.593,49.468,46.375,46.281,45.687,49.468,99,1006,21,3199,2844
2.229,7468,15089,3687,46.562,49.437,46.437,46.187,45.812,49.437,99,1004,22,3199,2844
2.345,7507,15128,3727,46.593,50.031,46.468,46.187,45.75,50.031,99,1005,22,3199,2844
2.459,7547,15207,3727,46.625,49.906,46.437,46.25,45.875,49.906,99,1005,23,3199,2844
2.573,7586,15222,3766,46.968,49.75,46.468,46.218,45.875,49.75,99,1006,24,3199,2844
2.687,7586,15300,3766,47.218,49.718,46.468,46.25,45.843,49.718,99,1006,24,3199,2844
2.802,7625,15300,3766,47.031,49.562,46.468,46.218,46.0,49.562,99,1006,25,3199,2844
2.916,7586,15300,3805,47.062,50.093,46.718,46.25,46.093,50.093,99,1006,25,3199,2844
3.033,7586,15339,3805,47.093,49.718,46.75,46.531,46.031,49.718,99,1005,26,3199,2844
3.148,7625,15339,3805,47.125,50.25,46.718,46.531,46.093,50.25,99,1005,26,3199,2844
3.262,7625,15378,3805,46.937,50.062,46.656,46.562,46.187,50.062,99,1005,27,3199,2844
3.375,7625,15378,3805,47.062,50.031,46.656,46.531,46.125,50.031,99,1005,27,3199,2844
3.49,7625,15378,3805,47.593,49.875,46.718,46.437,46.218,49.875,99,1004,27,3199,2844
3.603,7625,15378,3805,47.406,50.156,46.593,46.5,46.25,50.156,99,1005,28,3199,2844
3.718,7625,15418,3805,47.312,50.125,46.812,46.406,46.218,50.343,99,1005,28,3199,2844
3.834,7664,15418,3805,47.406,50.25,46.781,46.531,46.218,50.25,99,1005,28,3199,2844
3.949,7664,15418,3805,47.656,50.125,46.937,46.5,46.281,50.125,99,1005,28,3199,2844
4.063,7664,15418,3805,47.281,50.656,47.0,46.718,46.343,50.656,99,1005,28,3199,2844
4.176,7625,15378,3805,47.312,50.468,46.875,46.718,46.5,50.468,99,1006,29,3199,2844
4.292,7625,15378,3805,47.312,50.406,47.0,46.75,46.593,50.406,99,1005,29,3199,2844
4.407,7664,15418,3805,47.718,50.343,47.0,46.656,46.5,50.343,99,1005,29,3199,2844
4.522,7664,15418,3805,47.218,50.843,46.875,46.718,46.468,50.843,99,1004,29,3199,2844
4.637,7664,15418,3805,47.406,50.406,46.937,46.781,46.562,50.406,99,1005,29,3199,2844
