t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1080,4607,1362,45.875,46.718,46.25,46.531,45.0,46.718,0,305,6,665,2667
0.118,921,4333,1284,45.875,47.031,46.312,46.468,45.093,47.031,12,306,6,665,2667
0.235,802,4133,1243,45.875,46.718,46.281,46.562,45.156,46.718,0,305,6,665,2667
0.352,722,3979,1205,45.875,46.75,46.25,46.562,44.906,46.75,0,305,5,665,2667
0.483,683,3818,1205,45.906,47.125,46.25,46.343,44.937,47.125,0,305,5,665,2667
0.598,602,3737,1165,45.718,46.718,46.281,46.5,45.062,46.718,0,305,5,665,2667
0.72,602,3697,1165,46.218,46.718,46.156,46.343,44.906,46.718,10,306,5,665,2667
0.837,562,3623,1127,46.062,46.875,46.25,46.312,44.937,46.875,0,305,4,665,2665
0.956,522,3582,1127,45.625,47.062,46.187,46.312,44.937,47.062,0,305,4,665,2665
1.073,522,3582,1127,45.593,46.625,46.218,46.312,44.843,46.625,0,305,4,665,2665
1.192,523,3582,1127,45.562,46.687,46.281,46.406,44.937,46.687,0,305,4,665,2663
1.31,523,3582,1127,45.781,46.843,46.312,46.562,45.0,46.843,0,305,4,665,2663
1.432,483,3542,1127,46.031,46.687,46.125,46.375,44.812,46.687,0,305,4,665,2663
1.55,483,3542,1127,46.0,46.812,46.125,46.312,44.906,46.812,0,306,4,665,2663
1.667,483,3542,1127,45.968,46.906,46.187,46.406,44.875,46.906,0,305,4,665,2663
1.785,483,3502,1127,46.093,46.531,46.218,46.406,44.906,46.531,0,305,3,665,2662
1.903,483,3502,1127,45.562,46.875,46.187,46.406,44.906,46.875,0,305,3,665,2662
2.019,483,3502,1127,45.625,46.468,46.281,46.406,45.031,46.468,0,305,3,665,2662
2.135,483,3502,1127,45.593,47.0,46.187,46.437,44.843,47.0,0,305,3,665,2662
2.251,483,3502,1127,45.718,46.5,46.218,46.375,44.781,46.5,0,305,3,665,2662
2.368,483,3502,1127,45.625,46.937,46.187,46.437,44.937,46.625,0,305,3,665,2662
2.484,483,3502,1127,45.625,46.562,46.156,46.343,44.906,46.562,0,305,3,665,2662
2.601,483,3542,1127,45.687,46.656,46.343,46.375,44.937,46.656,0,305,3,665,2662
2.718,483,3502,1127,45.625,46.531,46.281,46.312,44.906,46.531,0,305,3,665,2661
2.836,483,3502,1127,45.718,46.625,46.281,46.437,44.843,46.625,0,306,3,665,2661
2.955,483,3502,1127,45.812,46.718,46.375,46.218,44.843,46.718,0,305,3,665,2661
3.071,483,3542,1127,45.875,46.843,46.062,46.218,44.781,46.843,0,306,3,665,2661
3.187,483,3502,1127,45.843,46.687,46.437,46.218,44.906,46.687,0,305,3,665,2660
3.302,483,3502,1127,45.593,46.875,46.281,46.593,44.812,46.875,0,305,3,665,2660
3.42,483,3502,1127,45.937,47.093,46.125,46.281,44.906,47.093,0,306,3,665,2660
3.538,483,3502,1127,46.0,46.843,46.093,46.312,44.812,46.843,0,305,3,665,2660
3.655,483,3502,1127,45.718,47.062,46.125,46.281,44.781,47.062,0,305,3,665,2660
3.773,483,3502,1127,45.812,46.531,46.156,46.312,44.843,46.531,0,305,3,665,2659
3.891,483,3502,1127,45.75,46.781,46.187,46.312,44.906,46.781,0,305,3,665,2659
4.008,483,3502,1127,45.875,46.843,46.156,46.312,44.843,46.843,0,305,3,665,2659
4.125,483,3462,1127,46.031,46.781,46.187,46.375,44.937,46.781,0,305,3,665,2659
4.241,483,3462,1127,45.875,46.843,46.187,46.375,44.843,46.843,0,305,3,665,2659
4.359,483,3502,1127,45.625,47.062,46.25,46.312,44.875,47.062,0,305,3,665,2658
4.476,483,3462,1127,45.656,46.843,46.25,46.437,44.937,46.843,0,305,3,665,2658
4.592,483,3502,1127,45.593,47.031,46.218,46.406,44.937,47.031,0,305,3,665,2658
4.708,483,3462,1127,45.5,46.812,46.25,46.375,44.906,46.812,0,305,3,665,2658
4.826,483,3462,1127,45.593,47.093,46.25,46.437,44.906,47.093,0,305,3,665,2658
4.945,483,3502,1127,45.875,46.531,46.312,46.25,44.781,46.531,22,305,3,665,2658
5.063,483,3502,1127,46.0,46.687,46.031,46.281,44.781,46.687,0,305,3,665,2658
5.182,483,3542,1127,46.0,46.593,46.125,46.312,44.812,46.593,0,305,3,665,2658
5.301,483,3502,1127,45.406,46.687,46.218,46.312,44.843,46.687,0,305,3,665,2658
5.418,483,3502,1127,45.562,46.531,46.187,46.343,44.906,46.531,0,306,3,665,2658
5.534,483,3502,1127,45.718,46.656,46.218,46.312,44.843,46.656,2,305,3,665,2658
5.653,483,3502,1127,45.562,46.812,46.218,46.406,44.906,46.812,0,306,3,665,2658
5.772,483,3502,1127,45.531,46.906,46.343,46.437,44.781,46.906,0,305,3,665,2658
5.888,483,3502,1127,45.625,46.5,46.312,46.5,44.812,46.5,0,305,3,665,2658
6.017,483,3502,1127,45.625,46.593,46.156,46.375,44.937,46.593,0,305,3,665,2658
6.134,483,3502,1127,45.625,46.75,46.218,46.468,44.937,46.75,1,305,3,665,2658
6.263,483,3502,1127,45.531,46.562,46.156,46.312,44.843,46.562,0,305,3,665,2658
6.38,483,3502,1127,45.656,47.062,46.25,46.343,44.875,47.062,0,306,3,665,2658
6.509,483,3502,1127,45.5,46.687,46.187,46.406,44.875,46.687,0,305,3,665,2658
6.625,483,3502,1127,45.593,46.937,46.25,46.437,44.906,46.937,0,305,3,665,2658
6.744,483,3502,1127,45.562,46.531,46.218,46.312,44.875,46.531,23,305,3,665,2658
6.862,483,3502,1127,45.687,46.593,46.343,46.406,44.906,46.593,0,305,3,665,2658
6.978,483,3502,1127,45.562,46.562,46.25,46.531,44.843,46.562,0,305,3,665,2658
7.095,483,3502,1127,45.656,46.531,46.343,46.187,44.812,46.531,0,305,3,665,2658
7.212,483,3502,1127,45.625,46.75,46.25,46.187,44.812,46.75,0,305,3,665,2658
7.33,483,3502,1127,45.718,46.843,46.093,46.312,44.75,46.843,0,306,3,665,2658
7.446,483,3502,1127,45.75,46.656,46.125,46.281,44.812,46.656,0,306,3,665,2658
7.562,483,3502,1127,45.843,46.656,46.375,46.281,44.781,46.656,0,305,3,665,2658
7.679,483,3502,1127,45.781,46.718,46.125,46.312,44.812,46.718,0,306,3,665,2658
7.796,483,3502,1127,45.937,46.875,46.125,46.218,44.812,46.875,0,305,3,665,2658
7.913,483,3502,1127,45.937,46.75,46.125,46.343,44.718,46.75,0,306,3,665,2658
8.042,483,3502,1127,45.906,46.593,46.125,46.312,44.781,46.593,0,305,3,665,2658
8.172,483,3502,1127,45.625,46.843,46.093,46.25,44.875,46.843,0,306,3,665,2658
8.289,483,3502,1127,45.625,46.625,46.125,46.281,44.75,46.625,0,306,3,665,2658
8.415,483,3502,1127,45.656,46.562,46.25,46.343,44.875,46.562,0,305,3,665,2658
8.543,483,3502,1127,45.562,46.687,46.187,46.25,44.875,46.687,0,305,3,665,2658
8.661,483,3502,1127,45.562,46.812,46.187,46.343,44.843,46.812,0,305,3,665,2658
8.78,483,3502,1127,45.625,46.687,46.281,46.468,44.843,46.687,0,305,3,665,2658
8.91,483,3502,1127,45.593,46.812,46.281,46.437,44.875,46.812,0,305,3,665,2658
9.027,483,3502,1127,45.593,46.906,46.343,46.406,44.781,46.906,0,305,3,665,2658
9.144,483,3502,1127,45.562,46.531,46.343,46.468,44.75,46.531,0,305,3,665,2658
9.262,483,3502,1127,45.625,46.625,46.062,46.156,44.75,46.625,0,305,3,665,2658
