t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,563,3703,1127,46.062,46.937,46.062,46.187,44.781,46.937,0,306,3,665,2647
0.116,563,3703,1127,45.968,46.781,46.062,46.312,44.843,46.593,0,305,3,665,2647
0.233,523,3623,1127,45.437,46.968,46.093,46.312,44.843,46.968,0,305,3,665,2647
0.366,643,3898,1165,46.031,46.5,46.281,46.312,44.843,46.5,36,305,1,2133,2661
0.48,802,4213,1243,46.281,46.906,46.156,46.312,44.968,46.906,0,305,1,2133,2737
0.597,1520,5240,1400,46.031,47.656,46.125,46.312,45.0,47.656,99,1007,2,2133,2738
0.713,2472,6589,1557,46.031,48.25,46.187,46.281,45.093,48.25,99,1008,4,2133,2738
0.838,3219,7682,1711,46.406,48.656,46.125,46.187,45.187,48.656,99,1007,7,2133,2738
0.954,3769,8425,1788,46.281,48.5,46.375,46.25,45.218,48.5,99,1008,9,2133,2738
1.069,4159,9007,1864,46.343,48.5,46.218,46.218,45.25,48.5,99,1007,10,2133,2738
1.184,4469,9443,1904,46.343,48.5,46.437,46.437,45.281,48.5,99,1007,12,2133,2738
1.3,4667,9745,1941,46.437,48.656,46.468,46.5,45.437,48.656,99,1007,13,2133,2738
1.416,4857,9983,1980,46.375,48.593,46.437,46.468,45.5,48.593,99,1007,15,2133,2738
1.53,4975,10181,2017,46.437,48.625,46.406,46.437,45.593,48.625,99,1008,16,2133,2738
1.646,5093,10323,2017,46.531,48.718,46.531,46.437,45.562,48.718,99,1007,17,2133,2738
1.761,5164,10402,2017,46.531,48.687,46.593,46.468,45.625,48.687,99,1007,18,2133,2738
1.877,5203,10481,2056,46.718,49.031,46.531,46.437,45.75,49.031,99,1007,19,2133,2738
1.993,5243,10560,2056,46.5,48.781,46.562,46.531,45.625,48.781,99,1007,20,2133,2738
2.109,5282,10599,2056,46.437,49.281,46.593,46.562,45.687,49.281,99,1007,21,2133,2738
2.223,5322,10639,2056,46.968,49.062,46.625,46.468,45.718,49.062,99,1007,22,2133,2738
2.338,5322,10718,2056,47.031,49.093,46.593,46.5,45.843,49.093,99,1007,22,2133,2738
2.453,5322,10718,2056,47.062,48.875,46.562,46.5,45.781,48.875,99,1007,23,2133,2738
2.568,5361,10718,2056,46.75,49.0,46.656,46.5,45.812,49.0,99,1006,23,2133,2738
2.683,5361,10758,2056,46.875,48.968,46.843,46.562,45.812,48.968,99,1006,24,2133,2738
2.797,5361,10758,2056,46.968,49.468,46.906,46.718,46.0,49.468,99,1007,24,2133,2738
2.911,5361,10758,2056,46.656,49.281,46.812,46.75,46.093,49.281,99,1007,25,2133,2738
3.027,5361,10718,2056,46.781,49.093,46.781,46.75,45.968,49.093,99,1007,25,2133,2738
3.142,5361,10758,2053,46.843,49.187,46.781,46.75,46.093,49.187,99,1007,25,2133,2738
3.256,5361,10758,2053,47.031,49.593,46.718,46.718,46.0,49.593,99,1007,26,2133,2738
3.372,5361,10758,2053,47.0,49.093,46.781,46.75,45.937,49.093,99,1007,26,2133,2738
3.487,5401,10758,2053,46.812,49.687,46.906,46.687,45.968,49.687,99,1006,26,2133,2738
3.602,5401,10758,2053,47.062,49.468,46.812,46.812,46.093,49.468,99,1007,26,2133,2738
3.716,5361,10758,2053,47.156,49.343,46.812,46.75,46.093,49.343,99,1007,27,2133,2738
3.83,5361,10758,2056,47.281,49.281,46.812,46.687,46.062,49.281,99,1007,27,2133,2738
3.946,5401,10758,2053,47.0,49.843,46.937,46.968,46.093,49.843,99,1006,27,2133,2738
4.06,5401,10758,2056,47.031,49.625,46.968,46.937,46.093,49.625,99,1007,27,2133,2738
4.175,5401,10758,2092,46.906,49.437,46.968,46.875,46.187,49.437,99,1007,27,2133,2738
4.289,5361,10758,2053,47.0,49.312,46.906,46.906,46.187,49.312,99,1007,27,2133,2738
4.405,5361,10758,2056,46.906,49.437,47.031,46.843,46.187,49.437,99,1007,28,2133,2738
4.519,5401,10758,2053,47.187,49.437,46.937,46.843,46.156,49.437,99,1007,28,2133,2738
4.633,5401,10758,2053,47.406,49.312,46.906,46.843,46.156,49.312,99,1007,28,2133,2738
4.747,5401,10797,2092,47.218,49.687,47.062,46.843,46.218,49.687,99,1007,28,2133,2738
4.863,5401,10758,2056,47.125,49.687,46.968,46.781,46.281,49.687,99,1007,28,2133,2738
4.978,5401,10797,2092,47.25,49.562,47.156,47.062,46.156,49.562,99,1007,28,2133,2738
5.094,5401,10797,2092,47.375,49.687,47.187,46.843,46.156,49.687,99,1007,28,2133,2738
5.21,5401,10797,2092,47.406,49.562,47.093,47.125,46.25,49.562,99,1007,28,2133,2738
5.326,5401,10797,2092,47.156,49.468,47.125,46.875,46.375,49.468,99,1006,28,2133,2738
5.441,5401,10758,2056,47.187,49.906,47.093,47.031,46.375,49.5,99,1007,28,2133,2738
5.556,5401,10758,2056,47.25,49.5,47.156,47.125,46.406,49.5,99,1007,28,2133,2738
5.672,5401,10758,2053,47.281,49.937,47.156,47.062,46.281,49.937,99,1006,28,2133,2738
5.791,5401,10758,2092,47.343,49.625,47.156,47.125,46.312,49.625,99,1007,29,2133,2738
5.905,5401,10758,2053,47.218,49.937,47.125,47.093,46.375,49.937,99,1007,29,2133,2738
6.022,5401,10758,2056,47.312,49.562,47.218,47.187,46.531,49.562,99,1007,29,2133,2738
6.137,5401,10758,2053,47.281,50.093,47.187,47.125,46.468,50.093,99,1007,29,2133,2738
6.253,5401,10758,2053,47.312,49.718,47.25,47.187,46.437,49.718,99,1007,29,2133,2738
6.369,5401,10758,2053,47.437,50.062,47.218,47.093,46.468,50.062,99,1007,29,2133,2738
6.484,5401,10758,2092,47.25,49.875,47.218,47.187,46.468,49.875,99,1008,29,2133,2738
6.599,5401,10758,2092,47.281,49.781,47.25,47.125,46.468,49.781,99,1007,29,2133,2738
6.713,5401,10758,2053,47.593,49.687,47.156,47.156,46.5,49.687,99,1007,29,2133,2738
6.837,5401,10758,2092,47.375,49.781,47.375,47.281,46.625,49.781,99,1006,29,2133,2738
6.952,5401,10797,2092,47.406,49.75,47.281,47.25,46.593,49.75,99,1007,29,2133,2738
7.066,5401,10797,2092,47.562,50.125,47.312,47.25,46.531,50.125,99,1007,29,2133,2738
7.182,5401,10797,2092,47.281,49.968,47.312,47.187,46.531,49.968,99,1007,29,2133,2738
7.297,5401,10758,2053,47.312,50.218,47.281,47.281,46.593,50.218,99,1007,29,2133,2738
7.413,5401,10758,2092,47.375,50.0,47.343,47.25,46.562,50.0,99,1007,29,2133,2738
7.527,5401,10758,2092,47.5,49.812,47.312,47.25,46.593,49.812,99,1007,29,2133,2738
7.642,5401,10758,2092,47.781,49.812,47.281,47.218,46.593,49.812,99,1007,29,2133,2738
7.759,5401,10797,2092,48.0,49.937,47.218,47.187,46.625,49.937,99,1007,29,2133,2738
7.874,5401,10758,2092,48.031,49.812,47.406,47.218,46.593,49.812,99,1007,29,2133,2738
7.99,5401,10758,2092,47.656,50.312,47.406,47.218,46.625,50.312,99,1006,29,2133,2738
8.105,5401,10797,2092,47.593,50.187,47.375,47.187,46.593,50.187,99,1007,29,2133,2738
8.22,5401,10797,2092,47.656,50.406,47.468,47.187,46.625,50.406,99,1007,29,2133,2738
8.334,5401,10797,2092,47.593,50.187,47.468,47.437,46.656,50.187,99,1007,29,2133,2738
8.45,5401,10758,2053,47.562,50.062,47.562,47.468,46.656,50.062,99,1007,29,2133,2738
8.566,5401,10758,2053,47.562,49.968,47.5,47.531,46.843,49.968,99,1007,29,2133,2738
8.68,5401,10758,2092,47.593,50.093,47.531,47.437,46.812,50.093,99,1007,29,2133,2738
8.796,5401,10758,2092,47.718,50.093,47.468,47.437,46.875,50.093,99,1007,29,2133,2738
8.912,5401,10797,2092,47.593,50.562,47.562,47.406,46.843,50.562,99,1007,29,2133,2738
9.028,5401,10758,2053,47.656,49.906,47.562,47.437,46.781,49.906,99,1007,29,2133,2738
9.144,5401,10758,2053,47.625,50.531,47.562,47.437,46.75,50.531,99,1007,29,2133,2738
9.26,5401,10758,2053,47.718,50.281,47.593,47.5,46.812,50.031,99,1007,29,2133,2738
