t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1629,6637,2464,48.281,49.406,48.062,48.562,47.062,49.406,0,914,2,3199,3515
0.213,1470,6289,2464,48.062,49.187,48.218,48.437,47.093,49.187,0,914,2,3199,3515
0.43,1706,6716,2503,48.531,49.375,48.25,48.437,47.125,49.375,42,910,2,3199,3534
0.644,1785,6756,2503,48.468,49.125,48.187,48.468,47.218,49.125,0,914,2,3199,3619
0.858,1745,6637,2464,48.562,49.25,48.062,48.625,47.156,49.25,0,914,2,3199,3721
1.073,1629,6557,2464,48.5,49.531,48.281,48.468,47.156,49.531,0,915,2,3199,3757
1.286,1510,6438,2464,48.312,49.281,48.093,48.406,47.218,49.281,0,914,2,3199,3773
1.5,1430,6369,2424,48.093,49.312,48.062,48.656,47.218,49.312,0,915,1,3199,3783
1.713,1430,6329,2424,48.593,49.062,48.093,48.562,47.062,49.062,0,913,1,3199,3799
1.926,1351,6329,2424,48.218,49.5,48.312,48.468,47.093,49.5,0,915,1,3199,3799
2.14,1351,6289,2424,48.25,49.281,48.187,48.718,47.125,49.281,0,915,1,3199,3809
2.354,1351,6289,2424,48.5,49.156,48.093,48.531,47.125,49.156,0,914,1,3199,3819
2.568,1351,6289,2424,48.218,49.156,48.156,48.5,47.187,49.156,0,915,1,3199,3827
2.782,1351,6289,2424,48.25,49.468,48.156,48.5,47.187,49.468,0,915,1,3199,3843
2.995,1470,6409,2424,48.531,49.312,48.093,48.562,47.125,49.312,0,914,1,3199,3887
3.21,1589,6478,2464,48.843,49.093,48.281,48.531,47.218,49.093,0,913,1,3199,3950
3.425,1669,6518,2464,48.281,49.281,48.156,48.5,47.25,49.281,23,913,1,3199,3977
3.64,1708,6557,2464,48.187,49.656,48.218,48.5,47.343,49.656,23,913,1,3199,4009
3.854,1748,6597,2464,48.562,49.656,48.187,48.75,47.281,49.656,24,913,1,3199,4032
4.068,1788,6597,2464,48.593,49.406,48.156,48.718,47.25,49.406,1,913,1,3199,4071
4.281,1785,6597,2464,48.437,49.218,48.281,48.531,47.343,49.218,1,913,1,3199,4102
4.494,1825,6637,2424,48.25,49.562,48.281,48.718,47.281,49.562,1,914,1,3199,4138
4.708,1825,6597,2424,48.625,49.281,48.343,48.656,47.218,49.281,1,914,1,3199,4177
4.921,1825,6637,2424,48.5,49.218,48.312,48.531,47.375,49.218,1,913,1,3199,4221
5.134,1825,6637,2424,48.656,49.531,48.281,48.75,47.375,49.531,1,914,1,3199,4288
5.348,1825,6637,2464,48.687,49.625,48.25,48.687,47.281,49.625,1,914,1,3199,4352
5.561,1825,6676,2464,48.468,49.375,48.375,48.593,47.406,49.375,0,913,1,3199,4417
5.774,1825,6676,2464,48.843,49.281,48.312,48.562,47.406,49.281,1,914,1,3199,4469
5.987,1825,6637,2464,48.625,49.625,48.25,48.781,47.312,49.625,1,914,1,3199,4517
6.201,1825,6637,2464,48.406,49.343,48.468,48.687,47.343,49.343,1,914,1,3199,4566
6.416,1825,6637,2424,48.375,49.468,48.312,48.531,47.406,49.468,0,914,1,3199,4622
6.629,1825,6637,2464,48.687,49.281,48.312,48.781,47.375,49.281,3,913,1,3199,4716
6.843,1904,6796,2464,48.562,50.031,48.5,48.75,47.437,50.031,0,902,1,3199,4757
7.058,3559,8913,2614,48.531,51.031,48.531,48.656,47.656,51.031,99,902,3,3199,4757
7.272,4573,10204,2689,49.062,51.125,48.437,48.625,47.593,51.125,99,902,4,3199,4757
7.485,5077,10859,2724,48.781,50.906,48.562,48.781,47.812,50.906,75,901,6,3199,4757
7.698,5667,11530,2759,48.687,51.562,48.593,48.687,48.031,51.562,99,902,7,3199,4757
7.912,6159,12536,2873,48.812,51.781,48.593,48.812,48.062,51.781,99,902,9,3199,4757
8.125,6697,13596,3065,49.218,52.343,48.593,48.875,48.031,52.062,99,902,12,3199,4757
8.338,6551,13264,2986,49.093,51.718,48.906,48.843,48.062,52.218,54,902,12,3199,4757
8.552,6394,12910,2952,49.031,51.875,48.781,48.781,48.343,51.875,99,902,13,3199,4754
8.765,6080,12418,2873,49.468,51.656,48.781,49.062,48.281,51.656,99,901,13,3199,4748
8.978,5933,12063,2838,49.281,52.062,48.968,48.906,48.25,52.062,99,902,13,3199,4748
9.196,5737,11708,2799,49.25,51.843,49.0,48.968,48.218,51.843,99,911,12,3199,4760
9.422,6071,13596,3418,50.093,51.812,48.875,49.187,48.562,51.812,99,902,19,3199,4754
9.635,6530,14225,3413,49.812,51.937,49.031,49.125,48.625,51.937,99,900,22,3199,4777
9.848,6345,14067,3418,49.375,52.25,49.0,49.125,48.531,52.25,50,902,23,3199,4778
10.061,6266,13596,3261,49.406,52.187,49.0,49.062,48.562,52.187,99,900,23,3199,4779
10.276,6345,13596,3222,49.812,52.187,49.031,49.281,48.625,52.187,99,901,23,3199,4780
10.488,6501,14107,3334,49.656,52.562,49.25,49.156,48.656,52.562,99,902,24,3199,4783
10.703,6686,14594,3413,49.656,52.687,49.156,49.218,48.843,52.687,38,909,26,3199,4785
10.917,6988,15418,3603,49.968,52.625,49.25,49.437,48.843,52.625,99,910,29,3199,4786
11.132,6792,15182,3603,49.968,52.5,49.281,49.281,48.843,52.5,99,910,30,3199,4787
11.346,6452,14868,3609,49.718,52.437,49.406,49.312,49.0,52.437,99,910,32,3199,4804
11.56,6334,14343,3491,49.718,52.843,49.406,49.343,49.0,52.843,99,909,31,3199,4811
11.773,6266,13950,3379,50.125,52.656,49.406,49.5,49.031,52.656,99,909,31,3199,4813
11.987,6227,13596,3261,49.843,52.5,49.406,49.406,48.937,52.5,99,909,29,3199,4814
12.201,6227,13557,3261,49.937,52.343,49.5,49.5,49.0,52.343,87,909,29,3199,4818
12.415,6452,14303,3413,50.218,53.156,49.5,49.406,49.093,53.156,99,913,30,3199,4819
12.628,6871,15261,3603,50.25,53.156,49.531,49.562,49.156,53.156,99,913,32,3199,4820
12.843,6871,15300,3603,50.031,53.5,49.625,49.593,49.218,53.5,99,913,34,3199,4821
13.057,6753,15471,3720,50.093,53.031,49.625,49.718,49.25,53.031,99,913,35,3199,4817
13.271,6558,15432,3799,50.468,53.25,49.593,49.875,49.375,53.25,99,913,37,3199,4817
13.485,6625,16293,4105,50.937,53.156,49.656,49.75,49.468,53.156,99,913,42,3199,4822
13.7,6441,15628,3955,50.468,53.156,49.812,49.75,49.5,53.156,40,913,42,3199,4822
13.914,6519,16098,4105,50.5,53.125,49.781,49.718,49.562,53.125,99,912,44,3199,4822
14.127,6547,16697,4301,50.531,53.5,49.781,49.968,49.5,53.5,99,912,48,3199,4822
14.341,6392,16176,4145,50.593,53.531,49.875,49.906,49.5,53.531,99,912,50,3199,4822
14.556,6061,14515,3687,50.5,53.156,49.906,49.968,49.5,53.156,99,912,45,3199,4822
14.77,5914,13675,3458,50.375,53.218,49.906,49.937,49.562,53.218,99,913,41,3199,4822
14.984,5727,13106,3300,50.625,52.687,49.843,50.125,49.468,52.687,99,914,38,3199,4822
15.197,6373,14633,3609,50.718,53.656,50.062,50.0,49.593,53.656,99,912,39,3199,4822
15.411,6558,15706,3916,50.75,53.562,50.062,50.031,49.812,53.562,99,913,43,3199,4822
15.624,6363,15706,3995,50.937,53.093,50.0,50.187,49.812,53.093,51,912,45,3199,4822
15.839,6168,15182,3877,51.375,53.0,50.062,50.156,49.843,53.0,99,917,45,3199,4839
16.054,6129,15667,4112,51.031,53.5,50.218,50.156,49.937,53.5,37,917,48,3199,4833
16.271,6129,15182,3916,50.75,53.843,50.093,50.187,49.875,53.843,99,914,46,3199,4837
16.484,6207,15549,4034,51.312,53.656,50.093,50.437,49.875,53.656,99,913,47,3199,4845
16.698,6314,16254,4223,51.187,53.906,50.25,50.281,49.968,53.906,99,913,50,3199,4847
16.912,6246,15784,4066,50.937,53.593,50.375,50.312,49.968,53.593,99,913,50,3199,4847
17.125,5943,14358,3687,50.781,54.0,50.218,50.343,49.968,54.0,99,913,46,3199,4847
17.339,5914,13557,3418,51.25,53.843,50.218,50.562,49.968,53.843,99,910,41,3199,4850
17.552,4290,10977,3075,51.281,52.25,50.375,50.406,49.843,52.25,0,916,36,3199,4789
17.767,3198,9215,2847,50.718,51.937,50.312,50.437,49.812,51.937,0,914,30,3199,4790
17.98,2610,8240,2733,51.062,52.312,50.25,50.625,49.75,52.312,0,912,26,3199,4804
18.193,2258,7697,2658,50.812,51.875,50.093,50.468,49.656,51.875,0,914,23,3199,4791
18.407,5549,11354,2799,51.062,54.062,50.312,50.437,49.968,54.062,99,914,21,3199,4791
18.62,7676,13753,2907,51.25,54.812,50.187,50.687,50.093,54.812,99,914,20,3199,4791
18.833,8940,15182,2976,51.781,54.937,50.468,50.531,50.25,54.937,99,914,19,3199,4790
19.045,9666,16019,3011,51.562,55.031,50.562,50.5,50.375,55.031,99,914,18,3199,4790
19.26,10117,16501,3011,51.593,55.375,50.5,50.531,50.531,55.375,99,914,18,3199,4790
19.473,10389,16853,3050,51.656,55.656,50.593,50.687,50.562,55.656,99,914,17,3199,4791
19.687,10527,17010,3045,52.093,55.437,50.75,50.687,50.625,55.437,99,914,17,3199,4790
19.9,10644,17127,3045,52.437,55.5,50.593,50.687,50.937,55.5,99,914,16,3199,4790
20.113,10722,17244,3045,52.218,55.906,50.781,50.937,50.937,55.906,99,914,16,3199,4790
20.326,10760,17216,3045,52.093,55.687,50.937,50.781,51.062,55.687,99,914,15,3199,4790
20.538,10760,17255,3045,52.156,56.187,50.812,50.843,51.031,56.187,99,915,15,3199,4790
20.752,10760,17294,3045,52.562,55.937,50.875,50.968,51.031,55.937,99,914,15,3199,4789
20.966,10799,17294,3045,52.406,56.125,51.093,51.0,51.093,56.125,99,915,15,3199,4789
21.18,10799,17255,3045,52.375,56.031,51.031,51.0,51.312,56.031,99,914,15,3199,4789
21.394,10799,17294,3045,52.906,56.437,51.125,51.218,51.343,56.437,99,914,15,3199,4789
21.608,10799,17294,3045,52.687,56.218,51.281,51.156,51.406,56.218,99,914,14,3199,4788
21.822,10799,17294,3045,52.593,56.281,51.25,51.156,51.437,56.281,99,915,14,3199,4787
22.036,10799,17294,3045,52.531,56.25,51.281,51.125,51.531,56.25,99,915,14,3199,4787
22.248,10799,17255,3045,52.906,56.656,51.25,51.343,51.5,56.656,99,914,14,3199,4787
