t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,2376,7420,2499,54.0,55.625,53.375,53.875,53.281,55.625,0,916,8,3199,3689
0.213,1904,6796,2460,53.656,55.25,53.437,53.718,53.062,55.25,0,916,7,3199,3689
0.426,1745,6597,2464,54.625,55.593,53.312,53.875,53.062,55.281,17,916,6,3199,3713
0.64,1745,6557,2424,54.312,55.562,53.187,53.656,52.968,55.562,0,915,5,3199,3806
0.853,1745,6557,2424,54.093,55.25,53.312,53.625,52.906,55.25,0,915,4,3199,3909
1.067,1745,6557,2464,54.093,54.968,53.25,53.906,52.875,54.968,0,915,4,3199,3991
1.281,1745,6557,2424,54.375,55.281,53.156,53.687,52.875,55.281,0,916,4,3199,4038
1.495,1745,6597,2424,54.125,55.375,53.187,53.593,52.75,55.375,0,916,3,3199,4093
1.709,1785,6637,2464,53.906,54.968,53.031,53.593,52.812,54.968,0,915,3,3199,4156
1.923,1785,6637,2424,54.281,54.906,53.031,53.843,52.687,54.906,1,915,3,3199,4199
2.136,1825,6637,2424,53.968,55.093,52.968,53.625,52.718,55.093,1,915,2,3199,4239
2.35,1825,6637,2424,53.875,55.093,53.125,53.531,52.781,55.093,1,915,2,3199,4278
2.565,1825,6637,2424,53.75,54.875,52.968,53.593,52.781,54.875,1,915,2,3199,4315
2.778,1864,6637,2424,54.062,54.687,52.906,53.656,52.687,54.687,1,915,2,3199,4355
2.991,1864,6597,2424,53.875,55.093,52.968,53.531,52.625,55.093,1,915,2,3199,4386
3.204,1864,6597,2424,53.75,54.718,52.875,53.562,52.656,54.718,1,915,1,3199,4425
3.417,1864,6597,2424,54.218,54.656,52.937,53.593,52.531,54.656,0,915,1,3199,4457
3.63,1864,6637,2424,53.937,54.937,52.937,53.531,52.625,54.937,0,915,1,3199,4496
3.843,1864,6637,2424,53.718,54.687,52.906,53.437,52.593,55.031,1,916,1,3199,4536
4.056,1864,6597,2424,53.687,54.687,52.906,53.5,52.593,54.687,1,916,1,3199,4575
4.27,1864,6597,2424,54.0,54.593,52.968,53.5,52.656,54.593,1,915,1,3199,4607
4.483,1864,6597,2424,54.125,54.843,52.906,53.468,52.593,54.843,1,916,1,3199,4638
4.696,1864,6637,2424,53.906,54.625,52.875,53.562,52.468,54.625,1,916,1,3199,4678
4.91,1825,6676,2424,53.718,55.062,52.937,53.531,52.468,55.062,0,916,1,3199,4713
5.123,1825,6676,2464,53.562,54.781,52.875,53.468,52.5,54.781,2,916,1,3199,4737
5.337,3238,9492,2926,53.75,55.875,52.812,53.562,52.687,55.875,99,913,7,3199,4737
5.552,4054,11017,3153,53.843,55.781,53.062,53.593,52.781,55.781,99,908,11,3199,4737
5.766,4597,12319,3424,53.875,56.437,53.062,53.468,52.875,56.437,56,910,16,3199,4737
5.979,5052,13792,3805,54.125,56.687,53.031,53.562,53.031,56.687,99,909,23,3199,4737
6.193,4935,13557,3733,53.875,56.343,52.937,53.593,53.0,56.343,99,908,26,3199,4737
6.407,5013,13478,3693,54.093,56.156,53.218,53.625,53.031,56.156,69,908,28,3199,4737
6.621,5444,14146,3766,54.0,56.875,53.156,53.593,53.125,56.875,99,910,31,3199,4737
6.834,5396,14555,3923,54.218,56.406,53.0,53.875,53.218,56.406,99,914,36,3199,4756
7.049,4974,13871,3844,54.375,56.437,53.156,53.656,53.281,56.437,99,909,37,3199,4764
7.264,5052,13871,3844,54.156,56.375,53.312,53.718,53.312,56.375,99,910,38,3199,4765
7.481,5013,14028,3883,54.156,56.562,53.25,53.718,53.468,56.562,99,910,40,3199,4771
7.694,5091,14201,3962,54.062,56.5,53.281,53.687,53.375,56.5,59,910,42,3199,4771
7.912,4935,13871,3883,54.281,56.25,53.25,54.0,53.343,56.25,55,914,43,3199,4771
8.128,4008,11748,3463,54.406,55.718,53.281,53.937,53.281,55.718,0,916,38,3199,4784
8.341,3080,9690,3080,54.25,55.312,53.218,53.875,53.187,55.312,0,916,33,3199,4784
8.56,2491,8438,2852,54.093,55.25,53.125,53.781,53.125,55.25,0,915,28,3199,4784
8.775,3395,9571,3005,54.187,56.718,53.281,53.812,53.156,56.718,99,910,25,3199,4768
8.988,6608,14437,3727,54.312,57.562,53.218,53.781,53.531,57.562,99,909,30,3199,4768
9.208,8404,17166,4099,54.531,58.031,53.406,53.812,53.812,58.031,99,908,33,3199,4768
9.423,9424,18669,4319,54.687,58.312,53.406,53.781,53.937,58.312,99,909,35,3199,4768
