t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1510,6289,2424,49.687,50.906,49.687,50.062,48.718,50.906,0,915,1,3199,3259
0.213,1391,6090,2428,49.656,50.718,49.593,49.906,48.593,50.718,0,915,1,3199,3259
0.426,1430,6170,2428,49.718,51.0,49.5,50.125,48.687,51.0,0,914,1,3199,3285
0.64,1391,6210,2428,49.937,51.156,49.531,50.093,48.562,51.156,0,914,1,3199,3321
0.854,1351,6289,2424,49.687,50.812,49.656,50.0,48.593,50.812,6,912,1,3199,3350
1.068,1311,6249,2424,49.562,50.75,49.531,49.843,48.656,50.75,0,915,1,3199,3347
1.283,2926,8636,2812,50.281,52.031,49.5,50.187,48.812,52.031,99,895,3,3199,3453
1.496,4415,10740,3119,50.5,52.562,49.781,50.031,49.0,52.562,99,897,7,3199,3453
1.71,5304,12063,3311,50.25,52.718,49.718,50.031,49.062,52.718,99,905,10,3199,3453
1.924,5884,12949,3463,50.406,52.625,49.718,49.906,49.312,52.625,99,905,12,3199,3453
2.138,6237,13461,3536,50.593,52.906,49.812,50.187,49.406,52.906,99,904,15,3199,3453
2.352,6462,13792,3575,50.812,53.437,49.968,50.125,49.656,53.437,99,905,17,3199,3453
2.566,6619,13989,3615,50.531,53.25,50.0,50.125,49.687,53.25,99,905,18,3199,3453
2.78,6658,14107,3654,51.093,53.156,49.875,50.375,49.812,53.156,99,904,19,3199,3453
2.994,6697,14185,3648,50.937,53.312,50.0,50.312,49.906,53.312,99,904,21,3199,3453
3.209,6736,14225,3648,51.218,53.75,50.156,50.25,49.906,53.75,99,904,22,3199,3453
3.423,6736,14225,3648,51.0,53.906,50.062,50.281,50.0,53.906,99,905,22,3199,3453
3.637,6776,14264,3648,50.906,53.718,50.062,50.468,50.0,53.718,99,905,23,3199,3453
3.85,6725,14264,3648,51.125,53.437,50.312,50.468,50.062,53.437,99,910,24,3199,3453
4.063,6764,14303,3648,50.937,53.968,50.312,50.343,50.125,53.968,99,905,24,3199,3453
4.277,6764,14303,3687,50.968,53.687,50.156,50.375,50.093,53.687,99,905,25,3199,3453
4.492,6764,14264,3648,51.031,53.875,50.25,50.656,50.093,53.875,99,905,25,3199,3453
4.706,6764,14303,3648,51.5,53.75,50.468,50.5,50.187,53.75,99,905,25,3199,3453
4.921,6804,14343,3687,51.187,53.75,50.468,50.5,50.343,53.75,99,904,26,3199,3453
5.134,6764,14343,3648,51.187,54.281,50.375,50.843,50.437,54.281,99,905,26,3199,3453
5.349,6804,14303,3648,51.468,54.062,50.437,50.718,50.343,54.062,99,905,26,3199,3453
5.562,6804,14343,3648,51.437,53.937,50.593,50.656,50.468,53.937,99,904,26,3199,3453
5.775,6804,14343,3687,51.375,54.281,50.5,50.656,50.5,54.281,99,904,26,3199,3453
5.99,6804,14343,3687,51.218,54.468,50.593,50.875,50.531,54.468,99,905,26,3199,3453
6.204,6804,14382,3687,51.656,54.187,50.718,50.843,50.562,54.187,99,904,27,3199,3453
6.419,6804,14343,3687,51.625,54.312,50.718,50.781,50.5,54.312,99,905,27,3199,3453
6.633,6804,14343,3687,51.468,54.093,50.625,50.687,50.656,54.093,99,904,27,3199,3453
6.846,6804,14343,3687,51.593,54.5,50.656,50.968,50.718,54.5,99,905,27,3199,3453
7.061,6804,14343,3687,51.843,54.093,50.906,50.906,50.687,54.093,99,905,27,3199,3453
7.274,6804,14343,3687,51.531,54.375,50.781,50.781,50.812,54.375,99,905,27,3199,3453
7.487,6804,14303,3687,51.531,54.218,50.812,51.0,50.687,54.218,99,905,27,3199,3453
7.701,6804,14303,3687,51.968,54.656,50.875,51.031,50.812,54.656,99,905,27,3199,3453
7.914,6804,14303,3687,51.75,54.437,50.906,51.031,50.968,54.437,99,906,27,3199,3453
8.127,6804,14303,3687,51.687,54.281,50.812,51.187,50.843,54.281,99,905,27,3199,3453
8.34,6804,14343,3687,52.187,54.687,50.875,51.093,50.937,54.687,99,905,27,3199,3453
8.554,6804,14343,3687,51.875,54.875,50.968,51.156,50.937,54.875,99,904,27,3199,3454
8.769,6804,14343,3687,51.906,54.625,50.875,51.031,50.937,54.625,99,904,27,3199,3454
8.983,6804,14343,3687,51.781,54.5,50.937,51.281,51.093,54.5,99,903,27,3199,3454
9.197,6804,14343,3687,52.125,54.5,51.25,51.218,51.031,54.5,99,904,27,3199,3454
9.411,6804,14343,3687,52.093,54.906,51.156,51.187,51.031,54.906,99,904,27,3199,3454
9.626,6804,14343,3687,51.843,54.718,51.0,51.187,51.218,54.718,99,903,27,3199,3454
9.839,6804,14343,3687,52.437,54.812,51.062,51.343,51.125,54.812,99,904,27,3199,3454
10.052,6804,14382,3687,52.156,54.625,51.125,51.312,51.156,54.625,99,904,27,3199,3454
10.267,6804,14343,3687,51.937,55.156,51.093,51.25,51.218,55.156,99,903,27,3199,3454
10.48,6804,14343,3687,52.0,54.843,51.062,51.468,51.281,54.843,99,903,27,3199,3454
10.693,6804,14343,3687,52.468,54.687,51.312,51.312,51.218,54.687,99,904,27,3199,3454
10.908,6804,14343,3687,52.156,54.718,51.281,51.375,51.437,54.718,99,903,27,3199,3454
11.121,6804,14382,3687,52.062,55.187,51.093,51.562,51.375,55.187,99,905,27,3199,3454
11.334,6804,14343,3687,52.625,54.968,51.406,51.593,51.375,54.968,99,905,27,3199,3454
11.547,6804,14382,3687,52.281,54.812,51.406,51.5,51.437,54.812,99,905,27,3199,3454
11.76,6804,14343,3687,52.656,55.187,51.375,51.656,51.406,55.187,99,905,27,3199,3454
11.973,6843,14382,3687,52.375,54.968,51.468,51.531,51.437,54.968,99,905,27,3199,3454
12.187,6804,14382,3687,52.187,54.906,51.375,51.562,51.531,54.906,99,905,27,3199,3454
12.4,6804,14343,3687,52.625,55.218,51.406,51.781,51.468,55.218,99,906,27,3199,3454
12.613,6804,14343,3687,52.593,55.062,51.375,51.656,51.406,55.312,99,904,27,3199,3454
12.826,6804,14343,3687,52.406,55.531,51.468,51.625,51.406,55.093,99,903,27,3199,3454
13.041,6804,14343,3687,52.375,55.0,51.468,51.812,51.625,55.0,99,904,27,3199,3453
13.254,6804,14343,3687,52.718,55.281,51.5,51.718,51.593,55.281,99,905,27,3199,3453
13.467,6804,14343,3687,52.562,55.156,51.593,51.781,51.468,55.156,99,904,27,3199,3461
13.68,6804,14343,3687,52.406,55.593,51.562,51.937,51.593,55.593,99,904,27,3199,3461
13.894,6804,14343,3687,52.781,55.281,51.593,51.906,51.625,55.093,99,904,27,3199,3459
