layer,kind,time_ms,pct,flops,bytes,ai,gflops
input_QuantizeLinear,overhead,0.044187334794335814,5.77086,0,0,,
input_cast_to_fp16,unattributed,0.0,0,0,0,,
475 + 475_QuantizeLinear + Conv_0 + Clip_1,conv,0.022977414093054625,2.99356,21676032,552832,39.20907617504052,943.3625521225214
478 + 478_QuantizeLinear + Conv_2 + Clip_3,depthwise,0.01872518361429535,2.49368,7225344,803136,8.996414056896963,385.8623845207031
481 + 481_QuantizeLinear + Conv_4,pointwise,0.018110403304113287,2.36724,12845056,602640,21.314642240807114,709.2639398639229
484 + 484_QuantizeLinear + Conv_5 + Clip_6,pointwise,0.03406907552258935,4.4428,38535168,1406560,27.396746672733478,1131.0893356777299
487 + 487_QuantizeLinear + Conv_7 + Clip_8,depthwise,0.02000597592717465,2.61657,5419008,1506240,3.5977055449330786,270.8694651901094
490 + 490_QuantizeLinear + Conv_9,pointwise,0.010784271274443697,1.41511,14450688,378648,38.16390948849591,1339.9781619222515
493 + 493_QuantizeLinear + Conv_10 + Clip_11,pointwise,0.020364597774780852,2.65829,21676032,530448,40.86363225047507,1064.3977474891844
496 + 496_QuantizeLinear + Conv_12 + Clip_13,depthwise,0.02085129885367499,2.71897,8128512,904608,8.98567335243553,389.8324059830628
499 + 499_QuantizeLinear + Conv_14 + Add_15,pointwise,0.012372453742414026,1.622,21676032,530328,40.87287867131285,1751.9590253703973
502 + 502_QuantizeLinear + Conv_16 + Clip_17,pointwise,0.019006957923128797,2.47567,21676032,530448,40.86363225047507,1140.4261580241262
505 + 505_QuantizeLinear + Conv_18 + Clip_19,depthwise,0.013217776668914364,1.72162,2032128,565920,3.5908396946564887,153.74204383246763
508 + 508_QuantizeLinear + Conv_20,pointwise,0.009503478961564399,1.23786,7225344,142624,50.660085259142924,760.2841053494175
511 + 511_QuantizeLinear + Conv_21 + Clip_22,pointwise,0.011066045583277142,1.43895,9633792,181952,52.94688709110095,870.5722317426972
514 + 514_QuantizeLinear + Conv_23 + Clip_24,depthwise,0.012602996358732303,1.64352,2709504,302976,8.94296577946768,214.9888743023124
517 + 517_QuantizeLinear + Conv_25 + Add_26,pointwise,0.009631558192852328,1.25453,9633792,181792,52.99348706213695,1000.231925832035
520 + 520_QuantizeLinear + Conv_27 + Clip_28,pointwise,0.010348801888064736,1.34935,9633792,181952,52.94688709110095,930.908921071399
523 + 523_QuantizeLinear + Conv_29 + Clip_30,depthwise,0.01216752697235334,1.58326,2709504,302976,8.94296577946768,222.68321296155307
526 + 526_QuantizeLinear + Conv_31 + Add_32,pointwise,0.008632540188806475,1.12946,9633792,181792,52.99348706213695,1115.985768880846
529 + 529_QuantizeLinear + Conv_33 + Clip_34,pointwise,0.009990180040458532,1.30651,9633792,181952,52.94688709110095,964.3261643919108
532 + 532_QuantizeLinear + Conv_35 + Clip_36,depthwise,0.008939930343897506,1.16981,677376,190080,3.5636363636363635,75.76971787731928
535 + 535_QuantizeLinear + Conv_37,pointwise,0.00847884511126096,1.10789,4816896,62528,77.03582395087001,568.1075590828476
538 + 538_QuantizeLinear + Conv_38 + Clip_39,pointwise,0.00993894834794336,1.29951,9633792,112768,85.43019296254256,969.2969178166114
541 + 541_QuantizeLinear + Conv_40 + Clip_41,depthwise,0.010348801888064736,1.35355,1354752,154368,8.776119402985074,130.90906702566548
544 + 544_QuantizeLinear + Conv_42 + Add_43,pointwise,0.009375399730276469,1.23191,9633792,112448,85.67330677290836,1027.5606669749866
547 + 547_QuantizeLinear + Conv_44 + Clip_45,pointwise,0.008837466958867161,1.15464,9633792,112768,85.43019296254256,1090.1078380082472
550 + 550_QuantizeLinear + Conv_46 + Clip_47,depthwise,0.010143875118004048,1.32741,1354752,154368,8.776119402985074,133.5536946423456
