t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1510,6319,2424,50.656,51.593,50.468,50.937,49.593,51.593,0,915,1,3199,3268
0.214,1391,6120,2424,50.468,51.875,50.375,51.125,49.625,51.875,0,915,1,3199,3268
0.427,1430,6200,2464,50.843,51.687,50.281,50.968,49.593,51.687,5,913,1,3199,3296
0.641,1470,6319,2464,50.906,51.687,50.437,50.812,49.656,51.687,7,914,1,3199,3351
0.855,2614,8015,2693,50.781,52.343,50.406,50.812,49.812,52.343,95,899,3,3199,3351
1.069,3361,9032,2808,50.781,52.875,50.375,51.062,49.875,52.875,95,905,4,3199,3349
1.283,3790,9650,2887,51.218,53.062,50.343,51.031,49.906,53.062,95,905,6,3199,3349
1.497,4060,10085,2961,51.187,52.781,50.656,50.906,50.0,52.781,95,905,7,3199,3349
1.711,4218,10266,2961,51.0,53.468,50.562,50.968,50.125,53.468,95,906,8,3199,3349
1.927,4297,10385,3001,51.281,52.812,50.468,51.156,50.218,52.812,95,906,9,3199,3349
2.14,4336,10503,3001,51.437,53.281,50.562,51.0,50.187,53.281,95,905,10,3199,3349
2.355,4376,10543,3001,51.187,53.343,50.687,51.031,50.312,53.343,95,905,10,3199,3349
2.569,4415,10543,3001,51.187,53.25,50.687,51.031,50.437,53.25,95,906,11,3199,3349
2.783,4415,10543,3040,51.75,53.0,50.656,51.187,50.468,53.0,95,905,11,3199,3349
2.998,4415,10582,3040,51.375,53.125,50.687,51.125,50.437,53.125,95,906,12,3199,3348
3.211,4415,10622,3040,51.312,53.531,50.75,51.093,50.406,53.531,95,904,12,3199,3348
3.425,4415,10622,3040,51.281,53.25,50.687,51.312,50.531,53.25,95,905,12,3199,3348
3.64,4415,10622,3040,51.343,53.375,50.687,51.218,50.531,53.375,95,906,13,3199,3348
3.854,4415,10582,3040,51.75,53.218,50.843,51.218,50.531,53.218,95,905,13,3199,3348
4.067,4408,10582,3040,51.5,53.531,50.843,51.093,50.656,53.531,95,904,13,3199,3348
4.281,4415,10582,3040,51.843,53.406,50.687,51.312,50.656,53.406,95,905,13,3199,3348
4.495,4447,10582,3040,51.343,53.5,50.781,51.25,50.5,53.5,95,905,13,3199,3348
4.708,4454,10582,3040,51.718,53.343,50.906,51.187,50.593,53.343,95,905,13,3199,3348
4.922,4454,10622,3040,51.437,53.687,50.843,51.312,50.656,53.687,95,905,13,3199,3348
5.135,4454,10622,3040,51.812,53.437,50.812,51.375,50.5,53.437,95,906,13,3199,3348
5.348,4454,10582,3040,51.656,53.375,51.062,51.218,50.593,53.375,95,906,13,3199,3348
5.562,4454,10622,3040,51.468,53.718,50.937,51.562,50.687,53.718,95,906,14,3199,3348
5.777,4454,10622,3040,51.937,53.75,50.937,51.375,50.718,53.75,95,905,14,3199,3348
5.991,4487,10661,3040,51.781,53.562,51.093,51.343,50.656,53.562,95,905,14,3199,3348
6.204,4487,10701,3040,51.687,53.406,51.0,51.281,50.812,53.406,95,905,14,3199,3348
6.421,4605,10898,3075,52.125,53.468,51.062,51.25,50.843,53.468,96,905,14,3199,3350
6.635,4565,10819,3040,51.625,53.562,50.968,51.562,50.812,53.562,95,906,14,3199,3350
6.849,4526,10740,3040,52.062,53.906,50.875,51.437,50.781,53.906,95,905,14,3199,3350
7.064,4487,10701,3040,51.875,53.656,51.093,51.468,50.812,53.656,95,905,14,3199,3350
7.277,4494,10661,3040,51.687,53.562,50.968,51.656,50.906,53.562,95,905,14,3199,3350
7.491,4454,10622,3040,51.625,53.593,50.968,51.656,50.875,53.593,95,905,14,3199,3350
7.704,4447,10582,3040,52.0,53.968,51.281,51.406,50.906,53.968,95,906,14,3199,3350
7.918,4454,10582,3040,51.875,53.75,51.125,51.468,50.968,53.75,95,905,14,3199,3350
8.132,4487,10701,3040,52.156,53.468,51.093,51.625,50.937,53.468,96,907,14,3199,3350
8.347,4526,10780,3040,52.25,53.656,51.0,51.562,50.875,53.656,95,905,14,3199,3350
8.56,4487,10780,3040,51.937,54.093,51.156,51.531,50.875,54.093,95,906,14,3199,3350
8.773,4487,10740,3040,51.781,53.75,51.125,51.812,50.937,53.75,95,906,14,3199,3350
8.986,4447,10661,3040,52.062,53.656,51.093,51.687,50.937,53.656,95,906,14,3199,3350
9.2,4487,10740,3040,52.218,53.968,51.312,51.656,50.906,53.968,95,905,14,3199,3350
9.413,4526,10780,3040,52.031,53.781,51.125,51.593,51.0,53.781,95,905,14,3199,3351
9.628,4487,10701,3040,51.781,53.875,51.187,51.687,51.0,53.875,95,905,14,3199,3351
9.841,4447,10661,3040,52.343,53.75,51.312,51.718,51.031,53.75,95,905,14,3199,3351
