layer,kind,time_ms,pct,flops,bytes,ai,gflops
Conv_0 + Clip_1,conv,0.09479671642026538,4.94971,21676032,2211328,9.80226904376013,228.65804659206694
Conv_2 + Clip_3,depthwise,0.050600744883952095,2.62984,7225344,3212544,2.249103514224241,142.79125764987504
Conv_4,pointwise,0.0477777879108222,2.48521,12845056,2410560,5.3286605602017785,268.84995228275216
Reformatting CopyNode for Input Tensor 0 to Conv_5 + Clip_6,overhead,0.02340322393852853,1.21658,0,0,,
Conv_5 + Clip_6,pointwise,0.08814910806418529,4.58526,38535168,5626240,6.8491866681833695,437.1589100134834
Reformatting CopyNode for Input Tensor 0 to Conv_7 + Clip_8,overhead,0.0,0,0,0,,
Conv_7 + Clip_8,depthwise,0.10466188863819245,5.43739,5419008,6024960,0.8994263862332696,51.77632537028894
Reformatting CopyNode for Input Tensor 0 to Conv_9,overhead,0.0,0,0,0,,
Conv_9,pointwise,0.03821615945344672,1.98441,14450688,1514592,9.540977372123978,378.1303042134102
Conv_10 + Clip_11,pointwise,0.04847593856009087,2.51817,21676032,2121792,10.215908062618768,447.1503315635724
Reformatting CopyNode for Input Tensor 0 to Conv_12 + Clip_13,overhead,0.0,0,0,0,,
Conv_12 + Clip_13,depthwise,0.06611183104813896,3.43432,8128512,3618432,2.2464183381088825,122.95094344129222
Reformatting CopyNode for Input Tensor 0 to Conv_14 + Add_15,overhead,0.0,0,0,0,,
Conv_14 + Add_15,pointwise,0.04820274917559444,2.50467,21676032,2121312,10.218219667828212,449.684558883517
Conv_16 + Clip_17,pointwise,0.04774743353476703,2.48141,21676032,2121792,10.215908062618768,453.9727142447712
Reformatting CopyNode for Input Tensor 0 to Conv_18 + Clip_19,overhead,0.0,0,0,0,,
Conv_18 + Clip_19,depthwise,0.03818580507739156,1.9839,2032128,2263680,0.8977099236641222,53.216843166759624
Reformatting CopyNode for Input Tensor 0 to Conv_20,overhead,0.0,0,0,0,,
Conv_20,pointwise,0.022128340144211806,1.14978,7225344,570496,12.665021314785731,326.5199266150092
Conv_21 + Clip_22,pointwise,0.024920942741286544,1.29439,9633792,727808,13.236721772775237,386.5741396708757
Reformatting CopyNode for Input Tensor 0 to Conv_23 + Clip_24,overhead,0.0,0,0,0,,
Conv_23 + Clip_24,depthwise,0.029413390397450258,1.52834,2709504,1211904,2.23574144486692,92.11804431205174
Reformatting CopyNode for Input Tensor 0 to Conv_25 + Add_26,overhead,0.0,0,0,0,,
Conv_25 + Add_26,pointwise,0.025254840877893304,1.31305,9633792,727168,13.248371765534237,381.46318349734247
Conv_27 + Clip_28,pointwise,0.02300861704981145,1.19582,9633792,727808,13.236721772775237,418.7036525986662
Reformatting CopyNode for Input Tensor 0 to Conv_29 + Clip_30,overhead,0.0,0,0,0,,
Conv_29 + Clip_30,depthwise,0.029352681645339936,1.52462,2709504,1211904,2.23574144486692,92.30856767153892
Reformatting CopyNode for Input Tensor 0 to Conv_31 + Add_32,overhead,0.0,0,0,0,,
Conv_31 + Add_32,pointwise,0.025194132125782986,1.30923,9633792,727168,13.248371765534237,382.38237189131195
Conv_33 + Clip_34,pointwise,0.02297826267375629,1.1949,9633792,727808,13.236721772775237,419.2567617830765
Reformatting CopyNode for Input Tensor 0 to Conv_35 + Clip_36,overhead,0.0,0,0,0,,
Conv_35 + Clip_36,depthwise,0.016300299941621042,0.848241,677376,760320,0.8909090909090909,41.55604512959876
Reformatting CopyNode for Input Tensor 0 to Conv_37,overhead,0.0,0,0,0,,
Conv_37,pointwise,0.01881971315419934,0.979202,4816896,250112,19.258955987717503,255.949490862733
Conv_38 + Clip_39,pointwise,0.02306932580192177,1.19867,9633792,451072,21.35754824063564,417.60180088130124
Reformatting CopyNode for Input Tensor 0 to Conv_40 + Clip_41,overhead,0.0,0,0,0,,
Conv_40 + Clip_41,depthwise,0.019608926931633505,1.01785,1354752,617472,2.1940298507462686,69.0885332340388
Reformatting CopyNode for Input Tensor 0 to Conv_42 + Add_43,overhead,0.0,0,0,0,,
Conv_42 + Add_43,pointwise,0.026590433424320357,1.38203,9633792,449792,21.41832669322709,362.3029322714485
Conv_44 + Clip_45,pointwise,0.022340820776597926,1.16195,9633792,451072,21.35754824063564,431.2192509100393
Reformatting CopyNode for Input Tensor 0 to Conv_46 + Clip_47,overhead,0.0,0,0,0,,
Conv_46 + Clip_47,depthwise,0.019578572555578343,1.01742,1354752,617472,2.1940298507462686,69.19564723905283
Reformatting CopyNode for Input Tensor 0 to Conv_48 + Add_49,overhead,0.0,0,0,0,,
Conv_48 + Add_49,pointwise,0.026924331560927117,1.39797,9633792,449792,21.41832669322709,357.8098857607542
Conv_50 + Clip_51,pointwise,0.022219403272377283,1.15393,9633792,451072,21.35754824063564,433.57564025927456
Reformatting CopyNode for Input Tensor 0 to Conv_52 + Clip_53,overhead,0.0,0,0,0,,
Conv_52 + Clip_53,depthwise,0.019457155051357703,1.01269,1354752,617472,2.1940298507462686,69.62744534974895
Reformatting CopyNode for Input Tensor 0 to Conv_54 + Add_55,overhead,0.0,0,0,0,,
Conv_54 + Add_55,pointwise,0.026681496552485837,1.38705,9633792,449792,21.41832669322709,361.0664034923651
Conv_56 + Clip_57,pointwise,0.022219403272377283,1.15417,9633792,451072,21.35754824063564,433.57564025927456
Reformatting CopyNode for Input Tensor 0 to Conv_58 + Clip_59,overhead,0.0,0,0,0,,
Conv_58 + Clip_59,depthwise,0.019548218179523184,1.01676,1354752,617472,2.1940298507462686,69.30309389625631
Reformatting CopyNode for Input Tensor 0 to Conv_60,overhead,0.0,0,0,0,,
Conv_60,pointwise,0.030688274191766986,1.5958,14450688,524160,27.56923076923077,470.8863036643753
Conv_61 + Clip_62,pointwise,0.03436115369444137,1.78586,21676032,750336,28.888433981576252,630.8295755362414
Reformatting CopyNode for Input Tensor 0 to Conv_63 + Clip_64,overhead,0.0,0,0,0,,
Conv_63 + Clip_64,depthwise,0.02340322393852853,1.21625,2032128,926208,2.1940298507462686,86.83111375328613
Reformatting CopyNode for Input Tensor 0 to Conv_65 + Add_66,overhead,0.0,0,0,0,,
Conv_65 + Add_66,pointwise,0.0402195482730873,2.09052,21676032,748416,28.962544894817857,538.9427015147359
Conv_67 + Clip_68,pointwise,0.03469505183104813,1.80391,21676032,750336,28.888433981576252,624.758599743679
Reformatting CopyNode for Input Tensor 0 to Conv_69 + Clip_70,overhead,0.0,0,0,0,,
Conv_69 + Clip_70,depthwise,0.02337286956247337,1.21576,2032128,926208,2.1940298507462686,86.94388143348522
Reformatting CopyNode for Input Tensor 0 to Conv_71 + Add_72,overhead,0.0,0,0,0,,
Conv_71 + Add_72,pointwise,0.04040167452941826,2.09909,21676032,748416,28.962544894817857,536.5132077438205
Conv_73 + Clip_74,pointwise,0.035271784976096184,1.83218,21676032,750336,28.888433981576252,614.5430976824656
Reformatting CopyNode for Input Tensor 0 to Conv_75 + Clip_76,overhead,0.0,0,0,0,,
