layer,kind,time_ms,pct,flops,bytes,ai,gflops
Reformatting CopyNode for Input Tensor 0 to Conv_0 + Clip_1,overhead,0.09014136592096186,6.14253,0,0,,
Conv_0 + Clip_1,conv,0.03923766236326008,2.65351,21676032,2211328,9.80226904376013,552.4292400328162
Conv_2 + Clip_3,depthwise,0.061370978614368785,4.13425,7225344,3212544,2.249103514224241,117.73225982595511
Conv_4,pointwise,0.03569984034690057,2.406,12845056,2410560,5.3286605602017785,359.80709928063294
Conv_5 + Clip_6,pointwise,0.07028862915147334,4.73159,38535168,5626240,6.8491866681833695,548.2418488622957
Conv_7 + Clip_8,depthwise,0.10353246082585986,6.9726,5419008,6024960,0.8994263862332696,52.341149401584254
Conv_9,pointwise,0.02713304819158372,1.82592,14450688,1514592,9.540977372123978,532.5862357212926
Conv_10 + Clip_11,pointwise,0.03508583817877205,2.36349,21676032,2121792,10.215908062618768,617.8000334366994
Conv_12 + Clip_13,depthwise,0.06467489504286981,4.3547,8128512,3618432,2.2464183381088825,125.68264694688733
Conv_14 + Add_15,pointwise,0.03634308071351138,2.44717,21676032,2121312,10.218219667828212,596.4280290619785
Conv_16 + Clip_17,pointwise,0.0355244111560067,2.39161,21676032,2121792,10.215908062618768,610.1728725300735
Conv_18 + Clip_19,depthwise,0.038682136592096183,2.60559,2032128,2263680,0.8977099236641222,52.53401644869894
Conv_20,pointwise,0.01611024736375283,1.08621,7225344,570496,12.665021314785731,448.49367218635166
Conv_21 + Clip_22,pointwise,0.019121781807430765,1.28838,9633792,727808,13.236721772775237,503.81246355694145
Conv_23 + Clip_24,depthwise,0.0282440997339115,1.90289,2709504,1211904,2.23574144486692,95.93168221066762
Conv_25 + Add_26,pointwise,0.016314914753129003,1.10079,9633792,727168,13.248371765534237,590.4898766420066
Conv_27 + Clip_28,pointwise,0.017133584310633686,1.15274,9633792,727808,13.236721772775237,562.2753432870985
Conv_29 + Clip_30,depthwise,0.028331814329358433,1.90835,2709504,1211904,2.23574144486692,95.63468009856027
Conv_31 + Add_32,pointwise,0.01611024736375283,1.08603,9633792,727168,13.248371765534237,597.9915629151357
Conv_33 + Clip_34,pointwise,0.017367489898492166,1.17052,9633792,727808,13.236721772775237,554.7026113909759
Conv_35 + Clip_36,depthwise,0.015759388981965113,1.06069,677376,760320,0.8909090909090909,42.98237709439004
Conv_37,pointwise,0.012338519759534839,0.83177,4816896,250112,19.258955987717503,390.39496583677686
Conv_38 + Clip_39,pointwise,0.016168723760717454,1.08964,9633792,451072,21.35754824063564,595.8288447852436
Conv_40 + Clip_41,depthwise,0.018975590815019216,1.2765,1354752,617472,2.1940298507462686,71.39445686864786
Conv_42 + Add_43,pointwise,0.01391738247757958,0.936384,9633792,449792,21.41832669322709,692.2129226181506
Conv_44 + Clip_45,pointwise,0.015817865378929735,1.06522,9633792,451072,21.35754824063564,609.0450113978552
Conv_46 + Clip_47,depthwise,0.01868320883019612,1.2622,1354752,617472,2.1940298507462686,72.51174101369712
Conv_48 + Add_49,pointwise,0.01371271508820341,0.924672,9633792,449792,21.41832669322709,702.5444587766304
Conv_50 + Clip_51,pointwise,0.015408530600177394,1.03679,9633792,451072,21.35754824063564,625.2245752680069
Conv_52 + Clip_53,depthwise,0.018741685227160736,1.26415,1354752,617472,2.1940298507462686,72.28549533190711
Conv_54 + Add_55,pointwise,0.01371271508820341,0.923516,9633792,449792,21.41832669322709,702.5444587766304
Conv_56 + Clip_57,pointwise,0.015262339607765843,1.02683,9633792,451072,21.35754824063564,631.2133164104209
Conv_58 + Clip_59,depthwise,0.018741685227160736,1.26585,1354752,617472,2.1940298507462686,72.28549533190711
Conv_60,pointwise,0.016548820340987484,1.11276,14450688,524160,27.56923076923077,873.2155949635328
Conv_61 + Clip_62,pointwise,0.021723981472356362,1.46204,21676032,750336,28.888433981576252,997.7927861696357
Conv_63 + Clip_64,depthwise,0.02277655661771952,1.53309,2032128,926208,2.1940298507462686,89.22015887243735
Conv_65 + Add_66,pointwise,0.02002816596038238,1.34835,21676032,748416,28.962544894817857,1082.2774308380137
Conv_67 + Clip_68,pointwise,0.020905311914851683,1.40771,21676032,750336,28.888433981576252,1036.86718898467
Conv_69 + Clip_70,depthwise,0.022718080220754906,1.5287,2032128,926208,2.1940298507462686,89.44981179102791
Conv_71 + Add_72,pointwise,0.01958959298314773,1.32269,21676032,748416,28.962544894817857,1106.5075225731928
Conv_73 + Clip_74,pointwise,0.0209637883118163,1.40917,21676032,750336,28.888433981576252,1033.974951358493
Conv_75 + Clip_76,depthwise,0.014092811668473442,0.950144,508032,587520,0.8647058823529412,36.0490164738738
Conv_77,pointwise,0.015583959791071255,1.05227,9031680,513536,17.587238285144565,579.5497499406185
Conv_78 + Clip_79,pointwise,0.022601127426825664,1.52188,15052800,837760,17.967914438502675,666.019872182729
Conv_80 + Clip_81,depthwise,0.01420976446240268,0.95957,846720,414720,2.0416666666666665,59.58719458301499
Conv_82 + Add_83,pointwise,0.01973578397555928,1.32862,15052800,834560,18.03680981595092,762.7160906625919
Conv_84 + Clip_85,pointwise,0.022601127426825664,1.52468,15052800,837760,17.967914438502675,666.019872182729
Conv_86 + Clip_87,depthwise,0.01432671725633192,0.964693,846720,414720,2.0416666666666665,59.1007685047863
Conv_88 + Add_89,pointwise,0.0180399684635853,1.21652,15052800,834560,18.03680981595092,834.4138755222845
Conv_90 + Clip_91,pointwise,0.022045601655661773,1.48902,15052800,837760,17.967914438502675,682.8028663093495
Conv_92 + Clip_93,depthwise,0.01374195328668572,0.926302,846720,414720,2.0416666666666665,61.615694824138906
Conv_94,pointwise,0.024501610328175816,1.65151,30105600,1480960,20.328435609334484,1228.7192391342471
Conv_95 + Clip_96,pointwise,0.038477469202720015,2.59089,40140800,1957120,20.51013734466972,1043.2286954351562
GlobalAveragePool_97,unattributed,0.010525751453631617,0.709974,0,0,,
Reformatting CopyNode for Input Tensor 0 to {ForeignNode[classifier.1.weight...Gemm_104_2]},overhead,0.0,0,0,0,,
Gemm_104_myl55_0,unattributed,0.06397317827929437,4.30033,0,0,,
