t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1510,6279,2424,50.375,51.75,50.312,50.781,49.437,51.75,0,914,1,3199,3031
0.213,1391,6080,2424,50.343,51.562,50.25,50.937,49.468,51.562,0,914,1,3199,3031
0.426,1430,6160,2424,50.531,52.062,50.468,50.781,49.5,52.062,0,914,1,3199,3060
0.64,2376,7816,2777,50.75,52.625,50.312,50.75,49.625,52.625,97,898,3,3199,3135
0.853,3942,10503,3277,51.062,52.968,50.281,50.843,49.906,52.968,97,904,8,3199,3135
1.068,4833,12103,3581,51.437,53.218,50.468,50.843,49.968,53.218,97,905,11,3199,3135
1.282,5374,13028,3772,51.437,53.968,50.531,50.781,50.125,53.968,97,904,15,3199,3135
1.496,5679,13635,3890,51.75,53.625,50.468,51.093,50.25,53.625,97,905,18,3199,3135
1.709,5875,13950,3923,51.5,53.687,50.5,51.0,50.281,53.937,97,905,20,3199,3135
1.923,6022,14185,4001,51.687,53.843,50.75,51.0,50.437,53.843,97,906,23,3199,3135
2.136,6061,14264,4001,51.468,54.281,50.656,51.187,50.531,54.281,97,904,24,3199,3135
2.35,6100,14319,4040,51.875,54.125,50.687,51.156,50.531,54.125,97,905,26,3199,3135
2.563,6139,14398,4040,51.781,53.968,50.937,51.187,50.625,53.968,97,904,27,3199,3136
2.776,6139,14398,4040,51.656,54.343,50.812,51.093,50.718,54.343,97,905,28,3199,3136
2.991,6178,14437,4040,52.281,54.531,50.843,51.281,50.781,54.531,97,904,29,3199,3136
3.205,6178,14437,4040,51.937,54.312,50.843,51.187,50.812,54.312,97,906,30,3199,3136
3.419,6178,14437,4040,51.968,54.187,51.0,51.187,50.843,54.187,97,905,30,3199,3136
3.632,6178,14437,4040,52.281,54.593,50.906,51.468,50.875,54.593,97,906,31,3199,3136
3.847,6178,14437,4040,52.343,54.687,51.0,51.375,50.906,54.687,97,904,31,3199,3136
4.06,6178,14437,4040,52.093,54.5,51.125,51.406,50.812,54.5,97,905,32,3199,3136
4.274,6178,14437,4040,52.062,54.312,51.0,51.343,51.0,54.312,97,905,32,3199,3136
4.487,6178,14476,4040,52.562,54.656,50.968,51.593,51.062,54.656,97,904,32,3199,3136
4.7,6178,14437,4040,52.406,54.5,51.281,51.437,51.0,54.5,97,906,33,3199,3136
4.914,6178,14476,4040,52.218,54.343,51.187,51.406,51.25,54.343,97,904,33,3199,3136
5.127,6178,14476,4040,52.5,54.468,51.218,51.562,51.187,54.468,97,903,33,3199,3136
5.34,6178,14476,4040,52.437,54.843,51.343,51.468,51.187,54.843,97,906,33,3199,3136
5.553,6178,14476,4040,52.218,54.687,51.281,51.5,51.25,54.687,97,905,33,3199,3136
5.767,6178,14476,4040,52.343,54.625,51.218,51.75,51.218,54.625,97,904,33,3199,3136
5.98,6178,14476,4040,52.812,54.875,51.187,51.656,51.312,54.875,97,905,33,3199,3136
6.195,6217,14476,4040,52.593,54.718,51.343,51.625,51.437,55.031,97,906,34,3199,3136
6.409,6178,14476,4040,52.281,54.812,51.281,51.593,51.406,54.812,97,905,34,3199,3136
6.623,6217,14476,4040,52.656,54.718,51.343,51.875,51.437,54.718,97,904,34,3199,3136
6.836,6217,14476,4040,52.812,55.062,51.593,51.75,51.437,55.062,97,905,34,3199,3136
7.05,6178,14476,4040,52.687,54.843,51.468,51.75,51.531,54.843,97,906,34,3199,3136
7.264,6217,14476,4040,52.531,54.968,51.375,51.875,51.5,54.968,97,905,34,3199,3136
7.478,6217,14515,4080,52.937,54.843,51.75,51.875,51.593,54.843,97,904,34,3199,3136
7.692,6178,14476,4040,52.656,55.125,51.656,51.843,51.687,55.125,97,904,34,3199,3136
